comparison,metric,baseline_value,qds2_value,delta,direction
QD-S2_minus_QD-B0,MAE_label,0.4019341190692051,0.4566334239951646,0.05469930492595948,lower_better
QD-S2_minus_QD-B0,Accuracy,0.6935630099728014,0.6554850407978241,-0.0380779691749773,higher_better
QD-S2_minus_QD-B0,Quadratic Weighted Kappa,0.5976217823018422,0.5466132115577904,-0.05100857074405174,higher_better
QD-S2_minus_QD-B0,low_to_high_rate,0.5161290322580645,0.4838709677419355,-0.032258064516129004,lower_better
QD-S2_minus_QD-B0,Acc@5,0.7873376623376623,0.702922077922078,-0.08441558441558439,higher_better
QD-S2_minus_QD-B0,high_to_mid_or_low_rate,0.003246753246753247,0.030844155844155844,0.027597402597402596,lower_better
QD-S2_minus_QD-B1,MAE_label,0.42792384406165007,0.4566334239951646,0.02870957993351453,lower_better
QD-S2_minus_QD-B1,Accuracy,0.670897552130553,0.6554850407978241,-0.015412511332728918,higher_better
QD-S2_minus_QD-B1,Quadratic Weighted Kappa,0.6012356007375432,0.5466132115577904,-0.05462238917975282,higher_better
QD-S2_minus_QD-B1,low_to_high_rate,0.45161290322580644,0.4838709677419355,0.03225806451612906,lower_better
QD-S2_minus_QD-B1,Acc@5,0.7418831168831169,0.702922077922078,-0.038961038961038974,higher_better
QD-S2_minus_QD-B1,high_to_mid_or_low_rate,0.01461038961038961,0.030844155844155844,0.016233766233766232,lower_better
QD-S2_minus_QD-S1,MAE_label,0.44182532487156234,0.4566334239951646,0.014808099123602259,lower_better
QD-S2_minus_QD-S1,Accuracy,0.6654578422484134,0.6554850407978241,-0.00997280145058932,higher_better
QD-S2_minus_QD-S1,Quadratic Weighted Kappa,0.5544041934106622,0.5466132115577904,-0.007790981852871748,higher_better
QD-S2_minus_QD-S1,low_to_high_rate,0.5483870967741935,0.4838709677419355,-0.06451612903225801,lower_better
QD-S2_minus_QD-S1,Acc@5,0.7012987012987013,0.702922077922078,0.0016233766233766378,higher_better
QD-S2_minus_QD-S1,high_to_mid_or_low_rate,0.01948051948051948,0.030844155844155844,0.011363636363636364,lower_better
