base_model,method,metric,raw_value,calibrated_value,delta
QD-R1_CORAL_human_only,temperature_scaling,Accuracy,0.6554850407978241,0.6554850407978241,0.0
QD-R1_CORAL_human_only,temperature_scaling,MAE_label,0.4466606225445754,0.4466606225445754,0.0
QD-R1_CORAL_human_only,temperature_scaling,QWK,0.5271754702243676,0.5271754702243676,0.0
QD-R1_CORAL_human_only,temperature_scaling,Kendall tau,0.45560562684313166,0.45560562684313166,0.0
QD-R1_CORAL_human_only,temperature_scaling,low_to_high_rate,0.5161290322580645,0.5161290322580645,0.0
QD-R1_CORAL_human_only,temperature_scaling,Acc@5,0.8977272727272727,0.8977272727272727,0.0
QD-R1_CORAL_human_only,temperature_scaling,high_to_mid_or_low_rate,0.003246753246753247,0.003246753246753247,0.0
QD-R1_CORAL_human_only,temperature_scaling,severe_error_rate,0.04805077062556664,0.04805077062556664,0.0
QD-R1_CORAL_human_only,global_threshold,Accuracy,0.6554850407978241,0.6509519492293744,-0.004533091568449721
QD-R1_CORAL_human_only,global_threshold,MAE_label,0.4466606225445754,0.4291326684799032,-0.01752795406467217
QD-R1_CORAL_human_only,global_threshold,QWK,0.5271754702243676,0.5724102588902609,0.045234788665893255
QD-R1_CORAL_human_only,global_threshold,Kendall tau,0.45560562684313166,0.5045974038970956,0.04899177705396396
QD-R1_CORAL_human_only,global_threshold,low_to_high_rate,0.5161290322580645,0.5161290322580645,0.0
QD-R1_CORAL_human_only,global_threshold,Acc@5,0.8977272727272727,0.6801948051948052,-0.21753246753246747
QD-R1_CORAL_human_only,global_threshold,high_to_mid_or_low_rate,0.003246753246753247,0.003246753246753247,0.0
QD-R1_CORAL_human_only,global_threshold,severe_error_rate,0.04805077062556664,0.02629193109700816,-0.02175883952855848
QD-R1_CORAL_human_only,risk_aware_threshold,Accuracy,0.6554850407978241,0.6654578422484134,0.00997280145058932
QD-R1_CORAL_human_only,risk_aware_threshold,MAE_label,0.4466606225445754,0.43578120278029614,-0.010879419764279252
QD-R1_CORAL_human_only,risk_aware_threshold,QWK,0.5271754702243676,0.5697080205443874,0.04253255032001979
QD-R1_CORAL_human_only,risk_aware_threshold,Kendall tau,0.45560562684313166,0.48795138632878815,0.03234575948565649
QD-R1_CORAL_human_only,risk_aware_threshold,low_to_high_rate,0.5161290322580645,0.4838709677419355,-0.032258064516129004
QD-R1_CORAL_human_only,risk_aware_threshold,Acc@5,0.8977272727272727,0.8652597402597403,-0.03246753246753242
QD-R1_CORAL_human_only,risk_aware_threshold,high_to_mid_or_low_rate,0.003246753246753247,0.011363636363636364,0.008116883116883116
QD-R1_CORAL_human_only,risk_aware_threshold,severe_error_rate,0.04805077062556664,0.043517679057116954,-0.004533091568449686
