check_name,status,details
calibration_base_inventory.csv exists,PASS,thesis_exp/outputs/exp07_calibration/tables/calibration_base_inventory.csv
raw_baseline_metrics.csv exists,PASS,thesis_exp/outputs/exp07_calibration/tables/raw_baseline_metrics.csv
temperature_scaling_dev.csv exists,PASS,thesis_exp/outputs/exp07_calibration/tables/temperature_scaling_dev.csv
temperature_scaling_test.csv exists,PASS,thesis_exp/outputs/exp07_calibration/tables/temperature_scaling_test.csv
global_threshold_calibration_dev.csv exists,PASS,thesis_exp/outputs/exp07_calibration/tables/global_threshold_calibration_dev.csv
global_threshold_calibration_test.csv exists,PASS,thesis_exp/outputs/exp07_calibration/tables/global_threshold_calibration_test.csv
risk_aware_threshold_calibration_dev.csv exists,PASS,thesis_exp/outputs/exp07_calibration/tables/risk_aware_threshold_calibration_dev.csv
risk_aware_threshold_calibration_test.csv exists,PASS,thesis_exp/outputs/exp07_calibration/tables/risk_aware_threshold_calibration_test.csv
risk_aware_threshold_best_configs.csv exists,PASS,thesis_exp/outputs/exp07_calibration/tables/risk_aware_threshold_best_configs.csv
calibration_summary.csv exists,PASS,thesis_exp/outputs/exp07_calibration/tables/calibration_summary.csv
calibration_delta_vs_raw.csv exists,PASS,thesis_exp/outputs/exp07_calibration/tables/calibration_delta_vs_raw.csv
low_score_calibration_comparison.csv exists,PASS,thesis_exp/outputs/exp07_calibration/tables/low_score_calibration_comparison.csv
high_score_calibration_comparison.csv exists,PASS,thesis_exp/outputs/exp07_calibration/tables/high_score_calibration_comparison.csv
rejection_analysis.csv exists,PASS,thesis_exp/outputs/exp07_calibration/tables/rejection_analysis.csv
server_calibration_artifact_inventory.csv exists,PASS,thesis_exp/outputs/exp07_calibration/tables/server_calibration_artifact_inventory.csv
unified_raw_baseline_metrics.csv exists,PASS,thesis_exp/outputs/exp07_calibration/tables/unified_raw_baseline_metrics.csv
unified_temperature_scaling_test.csv exists,PASS,thesis_exp/outputs/exp07_calibration/tables/unified_temperature_scaling_test.csv
unified_global_threshold_test.csv exists,PASS,thesis_exp/outputs/exp07_calibration/tables/unified_global_threshold_test.csv
unified_risk_aware_threshold_test.csv exists,PASS,thesis_exp/outputs/exp07_calibration/tables/unified_risk_aware_threshold_test.csv
unified_calibration_summary.csv exists,PASS,thesis_exp/outputs/exp07_calibration/tables/unified_calibration_summary.csv
unified_calibration_delta_vs_raw.csv exists,PASS,thesis_exp/outputs/exp07_calibration/tables/unified_calibration_delta_vs_raw.csv
unified_rejection_analysis.csv exists,PASS,thesis_exp/outputs/exp07_calibration/tables/unified_rejection_analysis.csv
best_calibrated_model_selection.csv exists,PASS,thesis_exp/outputs/exp07_calibration/tables/best_calibrated_model_selection.csv
selective_calibration_dev.csv exists,PASS,thesis_exp/outputs/exp07_calibration/tables/selective_calibration_dev.csv
selective_calibration_test.csv exists,PASS,thesis_exp/outputs/exp07_calibration/tables/selective_calibration_test.csv
selective_best_policies.csv exists,PASS,thesis_exp/outputs/exp07_calibration/tables/selective_best_policies.csv
selective_rejected_distribution.csv exists,PASS,thesis_exp/outputs/exp07_calibration/tables/selective_rejected_distribution.csv
exp07_calibration_report.md exists,PASS,thesis_exp/outputs/exp07_calibration/reports/exp07_calibration_report.md
exp07_calibration_review_package.md exists,PASS,thesis_exp/outputs/exp07_calibration/reports/exp07_calibration_review_package.md
notion_exp07_calibration_summary.md exists,PASS,thesis_exp/outputs/exp07_calibration/reports/notion_exp07_calibration_summary.md
exp07_c2_unified_calibration_report.md exists,PASS,thesis_exp/outputs/exp07_calibration/reports/exp07_c2_unified_calibration_report.md
exp07_c2_review_package.md exists,PASS,thesis_exp/outputs/exp07_calibration/reports/exp07_c2_review_package.md
notion_exp07_c2_unified_calibration_summary.md exists,PASS,thesis_exp/outputs/exp07_calibration/reports/notion_exp07_c2_unified_calibration_summary.md
exp07_c3_selective_calibration_report.md exists,PASS,thesis_exp/outputs/exp07_calibration/reports/exp07_c3_selective_calibration_report.md
exp07_c3_review_package.md exists,PASS,thesis_exp/outputs/exp07_calibration/reports/exp07_c3_review_package.md
notion_exp07_c3_selective_calibration_summary.md exists,PASS,thesis_exp/outputs/exp07_calibration/reports/notion_exp07_c3_selective_calibration_summary.md
at least one local base calibration-ready,PASS,"[""QD-R1_CORAL_human_only""]"
QD-R1 local threshold calibration-ready,PASS,"{""base_model"": ""QD-R1_CORAL_human_only"", ""blocking_reason"": ""ready"", ""can_temperature_calibrate"": ""yes"", ""can_threshold_calibrate"": ""yes"", ""dev_logits_available"": ""yes_local"", ""dev_probs_available"": ""yes_local"", ""test_logits_available"": ""yes_local"", ""test_probs_available"": ""yes_local""}"
selection uses dev only,PASS,"[[""global_threshold_calibration_dev.csv"", ""dev"", ""dev_MAE_label""], [""global_threshold_calibration_test.csv"", ""dev"", ""dev_MAE_label""], [""risk_aware_threshold_calibration_dev.csv"", ""dev"", ""dev_MAE_plus_low_high_risk""], [""risk_aware_threshold_calibration_dev.csv"", ""dev"", ""dev_MAE_plus_low_high_risk""], [""risk_aware_threshold_calibration_dev.csv"", ""dev"", ""dev_MAE_plus_low_high_risk""]]"
threshold values valid and monotonic,PASS,
all numeric outputs finite,PASS,
raw baseline matches existing QD-R1 summary,PASS,"{""Acc@5"": 0.0, ""Accuracy"": 0.0, ""Kendall tau"": 0.0, ""MAE_label"": 0.0, ""QWK"": 0.0, ""low_to_high_rate"": 0.0}"
calibrated predictions written,PASS,"[""thesis_exp/outputs/exp07_calibration/calibrated_predictions/QD-R1_CORAL_human_only_test_risk_aware_predictions.csv""]"
calibrated pred_label in 1-5,PASS,
no checkpoint/weight files in Exp7-C outputs,PASS,[]
no tracked checkpoint/weights,PASS,
no API key strings in Exp7-C outputs,PASS,[]
no training command output generated,PASS,
