base_model,method,split,risk_policy,review_budget,selected_scope,overall_selected,rejected_count,rejected_label_distribution,rejected_pred_distribution,potential_low_to_high_count,rejected_low_to_high_count,rejected_low_to_high_capture_rate,fraction_true_low_sent_to_review,fraction_potential_low_to_high_sent_to_review
QD-B0_human_only_ordinary_ordinal,raw,dev,low_score_overestimation_risk,0.2,base_method,no,221,"{""1"": 0, ""2"": 7, ""3"": 11, ""4"": 88, ""5"": 115}","{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 16, ""5"": 205}",30,7,0.23333333333333334,0.12280701754385964,0.23333333333333334
QD-B0_human_only_ordinary_ordinal,risk_aware_threshold,dev,combined_risk,0.2,base_method,no,221,"{""1"": 0, ""2"": 7, ""3"": 12, ""4"": 91, ""5"": 111}","{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 38, ""5"": 183}",30,7,0.23333333333333334,0.12280701754385964,0.23333333333333334
QD-B1_human_only_L1_weighted_ordinal,raw,dev,entropy_confidence_risk,0.2,base_method,yes,221,"{""1"": 1, ""2"": 13, ""3"": 22, ""4"": 96, ""5"": 89}","{""1"": 0, ""2"": 3, ""3"": 18, ""4"": 127, ""5"": 73}",28,11,0.39285714285714285,0.24561403508771928,0.39285714285714285
QD-B1_human_only_L1_weighted_ordinal,risk_aware_threshold,dev,combined_risk,0.2,base_method,no,221,"{""1"": 0, ""2"": 8, ""3"": 10, ""4"": 86, ""5"": 117}","{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 29, ""5"": 192}",28,8,0.2857142857142857,0.14035087719298245,0.2857142857142857
QD-R1_CORAL_human_only,raw,dev,combined_risk,0.2,base_method,no,221,"{""1"": 1, ""2"": 6, ""3"": 32, ""4"": 130, ""5"": 52}","{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 109, ""5"": 112}",32,7,0.21875,0.12280701754385964,0.21875
QD-R1_CORAL_human_only,risk_aware_threshold,dev,combined_risk,0.2,base_method,no,221,"{""1"": 1, ""2"": 7, ""3"": 27, ""4"": 132, ""5"": 54}","{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 133, ""5"": 88}",31,8,0.25806451612903225,0.14035087719298245,0.25806451612903225
QD-B0_human_only_ordinary_ordinal,raw,test,low_score_overestimation_risk,0.2,base_method,no,220,"{""1"": 0, ""2"": 1, ""3"": 10, ""4"": 61, ""5"": 148}","{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 21, ""5"": 199}",16,1,0.0625,0.03225806451612903,0.0625
QD-B0_human_only_ordinary_ordinal,risk_aware_threshold,test,combined_risk,0.2,base_method,no,220,"{""1"": 0, ""2"": 4, ""3"": 13, ""4"": 68, ""5"": 135}","{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 58, ""5"": 162}",16,4,0.25,0.12903225806451613,0.25
QD-B1_human_only_L1_weighted_ordinal,raw,test,entropy_confidence_risk,0.2,base_method,yes,220,"{""1"": 0, ""2"": 6, ""3"": 32, ""4"": 78, ""5"": 104}","{""1"": 1, ""2"": 6, ""3"": 10, ""4"": 138, ""5"": 65}",14,6,0.42857142857142855,0.1935483870967742,0.42857142857142855
QD-B1_human_only_L1_weighted_ordinal,risk_aware_threshold,test,combined_risk,0.2,base_method,no,220,"{""1"": 0, ""2"": 1, ""3"": 13, ""4"": 46, ""5"": 160}","{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 43, ""5"": 177}",17,1,0.058823529411764705,0.03225806451612903,0.058823529411764705
QD-R1_CORAL_human_only,raw,test,combined_risk,0.2,base_method,no,220,"{""1"": 0, ""2"": 5, ""3"": 26, ""4"": 123, ""5"": 66}","{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 121, ""5"": 99}",16,5,0.3125,0.16129032258064516,0.3125
QD-R1_CORAL_human_only,risk_aware_threshold,test,combined_risk,0.2,base_method,no,220,"{""1"": 1, ""2"": 6, ""3"": 26, ""4"": 110, ""5"": 77}","{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 131, ""5"": 89}",15,7,0.4666666666666667,0.22580645161290322,0.4666666666666667
