base_model,method,split,Acc@5,high_to_mid_or_low_rate,high_signed_bias,mean_pred_high
QD-B0_human_only_ordinary_ordinal,raw,test,0.7873376623376623,0.003246753246753247,-0.06709956709956723,4.784090909090909
QD-B0_human_only_ordinary_ordinal,temperature_scaling,test,0.7873376623376623,0.003246753246753247,-0.06709956709956723,4.784090909090909
QD-B0_human_only_ordinary_ordinal,global_threshold,test,0.663961038961039,0.003246753246753247,-0.19047619047619063,4.660714285714286
QD-B0_human_only_ordinary_ordinal,risk_aware_threshold,test,0.7694805194805194,0.003246753246753247,-0.08495670995671008,4.766233766233766
QD-B1_human_only_L1_weighted_ordinal,raw,test,0.7418831168831169,0.01461038961038961,-0.1271645021645023,4.724025974025974
QD-B1_human_only_L1_weighted_ordinal,temperature_scaling,test,0.7418831168831169,0.01461038961038961,-0.1271645021645023,4.724025974025974
QD-B1_human_only_L1_weighted_ordinal,global_threshold,test,0.7418831168831169,0.00974025974025974,-0.11904761904761921,4.732142857142857
QD-B1_human_only_L1_weighted_ordinal,risk_aware_threshold,test,0.7418831168831169,0.00974025974025974,-0.11904761904761921,4.732142857142857
QD-R1_CORAL_human_only,raw,test,0.8977272727272727,0.003246753246753247,0.04329004329004316,4.89448051948052
QD-R1_CORAL_human_only,temperature_scaling,test,0.8977272727272727,0.003246753246753247,0.04329004329004316,4.89448051948052
QD-R1_CORAL_human_only,global_threshold,test,0.6801948051948052,0.003246753246753247,-0.1742424242424244,4.6769480519480515
QD-R1_CORAL_human_only,risk_aware_threshold,test,0.8652597402597403,0.011363636363636364,0.0027056277056275806,4.853896103896104
