split,true_label,n,mean_prob_gt_1,mean_prob_gt_2,mean_prob_gt_3,mean_prob_gt_4,mean_pred_label,mean_pred_score_expected,signed_bias
dev,1,19,0.2894146287029511,0.23738181300608344,0.16778687402409942,0.09800153967195288,1.7894736842105263,1.792584855405087,0.7719298245614036
dev,2,38,0.9394435757084897,0.8668589388069353,0.7498425433510228,0.5962982471836241,4.473684210526316,4.152443305050072,2.3947368421052633
dev,3,105,0.9249153591337658,0.8311461241472335,0.6763697442554292,0.48817708485183264,4.190476190476191,3.920608312388261,1.0634920634920635
dev,4,389,0.9558834916215323,0.8920934949558621,0.7657751375881137,0.5755873114866585,4.565552699228792,4.189339435652166,0.45844044558697533
dev,5,556,0.986118750177699,0.9648654957255014,0.9179881593520692,0.8315936135087939,4.920863309352518,4.700566018764063,0.094124700239808
test,1,9,0.1161106634988553,0.09261141233663592,0.06529979293312256,0.0370412236758663,1.3333333333333333,1.3110630924444802,0.3333333333333333
test,2,22,0.9137858775528994,0.8057515783743425,0.6317880912260576,0.43097568912939593,4,3.7823012362826955,1.8636363636363635
test,3,105,0.9251259792418707,0.8278652846813201,0.6614450684615544,0.4537979050761177,4.142857142857143,3.868234237460863,1.0095238095238095
test,4,351,0.9503741580196935,0.8800298413659773,0.744940763694948,0.549835661367813,4.492877492877493,4.125180424448431,0.3855650522317191
test,5,616,0.9826844473937889,0.9565533300885907,0.899951308965683,0.7982123645216033,4.89448051948052,4.637401450969666,0.043290043290043156
