check_name,path,status,details
python py_compile,thesis_exp/src/edujudge/exp07_rank_consistent/__init__.py,PASS,
python py_compile,thesis_exp/src/edujudge/exp07_rank_consistent/calibrate_temperature.py,PASS,
python py_compile,thesis_exp/src/edujudge/exp07_rank_consistent/calibrate_thresholds.py,PASS,
python py_compile,thesis_exp/src/edujudge/exp07_rank_consistent/calibration_data.py,PASS,
python py_compile,thesis_exp/src/edujudge/exp07_rank_consistent/calibration_inventory_exp07.py,PASS,
python py_compile,thesis_exp/src/edujudge/exp07_rank_consistent/collect_exp07_results.py,PASS,
python py_compile,thesis_exp/src/edujudge/exp07_rank_consistent/coral_head.py,PASS,
python py_compile,thesis_exp/src/edujudge/exp07_rank_consistent/data.py,PASS,
python py_compile,thesis_exp/src/edujudge/exp07_rank_consistent/diagnose_qdr1.py,PASS,
python py_compile,thesis_exp/src/edujudge/exp07_rank_consistent/evaluate_calibration.py,PASS,
python py_compile,thesis_exp/src/edujudge/exp07_rank_consistent/evaluate_selective_calibration.py,PASS,
python py_compile,thesis_exp/src/edujudge/exp07_rank_consistent/evaluate_selective_robustness.py,PASS,
python py_compile,thesis_exp/src/edujudge/exp07_rank_consistent/evaluate_server_calibration.py,PASS,
python py_compile,thesis_exp/src/edujudge/exp07_rank_consistent/losses.py,PASS,
python py_compile,thesis_exp/src/edujudge/exp07_rank_consistent/metrics.py,PASS,
python py_compile,thesis_exp/src/edujudge/exp07_rank_consistent/readability_check_exp07.py,PASS,
python py_compile,thesis_exp/src/edujudge/exp07_rank_consistent/sanity_check_exp07_calibration.py,PASS,
python py_compile,thesis_exp/src/edujudge/exp07_rank_consistent/sanity_check_exp07_outputs.py,PASS,
python py_compile,thesis_exp/src/edujudge/exp07_rank_consistent/sanity_check_exp07_setup.py,PASS,
python py_compile,thesis_exp/src/edujudge/exp07_rank_consistent/train_qdr1_coral.py,PASS,
python py_compile,thesis_exp/src/edujudge/exp07_rank_consistent/write_exp07_c2_report.py,PASS,
python py_compile,thesis_exp/src/edujudge/exp07_rank_consistent/write_exp07_calibration_report.py,PASS,
python py_compile,thesis_exp/src/edujudge/exp07_rank_consistent/write_exp07_report.py,PASS,
shell bash -n,thesis_exp/scripts/run_exp07_qdr1_smoke.sh,PASS,
shell bash -n,thesis_exp/scripts/run_exp07_qdr1_train.sh,PASS,
shell bash -n,thesis_exp/scripts/sync_exp07_qdr1_to_server.sh,PASS,
no CRLF line endings,thesis_exp/src/edujudge/exp07_rank_consistent/__init__.py,PASS,
no CR-only line endings,thesis_exp/src/edujudge/exp07_rank_consistent/__init__.py,PASS,
LF line endings,thesis_exp/src/edujudge/exp07_rank_consistent/__init__.py,PASS,
first line <= 1000 chars,thesis_exp/src/edujudge/exp07_rank_consistent/__init__.py,PASS,52
not collapsed-line file,thesis_exp/src/edujudge/exp07_rank_consistent/__init__.py,PASS,85
file size below 20MB,thesis_exp/src/edujudge/exp07_rank_consistent/__init__.py,PASS,3013
not checkpoint/weight artifact,thesis_exp/src/edujudge/exp07_rank_consistent/__init__.py,PASS,
no API key string,thesis_exp/src/edujudge/exp07_rank_consistent/__init__.py,PASS,
no CRLF line endings,thesis_exp/src/edujudge/exp07_rank_consistent/calibrate_temperature.py,PASS,
no CR-only line endings,thesis_exp/src/edujudge/exp07_rank_consistent/calibrate_temperature.py,PASS,
LF line endings,thesis_exp/src/edujudge/exp07_rank_consistent/calibrate_temperature.py,PASS,
first line <= 1000 chars,thesis_exp/src/edujudge/exp07_rank_consistent/calibrate_temperature.py,PASS,59
not collapsed-line file,thesis_exp/src/edujudge/exp07_rank_consistent/calibrate_temperature.py,PASS,53
file size below 20MB,thesis_exp/src/edujudge/exp07_rank_consistent/calibrate_temperature.py,PASS,2130
not checkpoint/weight artifact,thesis_exp/src/edujudge/exp07_rank_consistent/calibrate_temperature.py,PASS,
no API key string,thesis_exp/src/edujudge/exp07_rank_consistent/calibrate_temperature.py,PASS,
no CRLF line endings,thesis_exp/src/edujudge/exp07_rank_consistent/calibrate_thresholds.py,PASS,
no CR-only line endings,thesis_exp/src/edujudge/exp07_rank_consistent/calibrate_thresholds.py,PASS,
LF line endings,thesis_exp/src/edujudge/exp07_rank_consistent/calibrate_thresholds.py,PASS,
first line <= 1000 chars,thesis_exp/src/edujudge/exp07_rank_consistent/calibrate_thresholds.py,PASS,58
not collapsed-line file,thesis_exp/src/edujudge/exp07_rank_consistent/calibrate_thresholds.py,PASS,324
file size below 20MB,thesis_exp/src/edujudge/exp07_rank_consistent/calibrate_thresholds.py,PASS,12908
not checkpoint/weight artifact,thesis_exp/src/edujudge/exp07_rank_consistent/calibrate_thresholds.py,PASS,
no API key string,thesis_exp/src/edujudge/exp07_rank_consistent/calibrate_thresholds.py,PASS,
no CRLF line endings,thesis_exp/src/edujudge/exp07_rank_consistent/calibration_data.py,PASS,
no CR-only line endings,thesis_exp/src/edujudge/exp07_rank_consistent/calibration_data.py,PASS,
LF line endings,thesis_exp/src/edujudge/exp07_rank_consistent/calibration_data.py,PASS,
first line <= 1000 chars,thesis_exp/src/edujudge/exp07_rank_consistent/calibration_data.py,PASS,58
not collapsed-line file,thesis_exp/src/edujudge/exp07_rank_consistent/calibration_data.py,PASS,230
file size below 20MB,thesis_exp/src/edujudge/exp07_rank_consistent/calibration_data.py,PASS,9711
not checkpoint/weight artifact,thesis_exp/src/edujudge/exp07_rank_consistent/calibration_data.py,PASS,
no API key string,thesis_exp/src/edujudge/exp07_rank_consistent/calibration_data.py,PASS,
no CRLF line endings,thesis_exp/src/edujudge/exp07_rank_consistent/calibration_inventory_exp07.py,PASS,
no CR-only line endings,thesis_exp/src/edujudge/exp07_rank_consistent/calibration_inventory_exp07.py,PASS,
LF line endings,thesis_exp/src/edujudge/exp07_rank_consistent/calibration_inventory_exp07.py,PASS,
first line <= 1000 chars,thesis_exp/src/edujudge/exp07_rank_consistent/calibration_inventory_exp07.py,PASS,75
not collapsed-line file,thesis_exp/src/edujudge/exp07_rank_consistent/calibration_inventory_exp07.py,PASS,294
minimum line count,thesis_exp/src/edujudge/exp07_rank_consistent/calibration_inventory_exp07.py,PASS,lines=294; min>80
file size below 20MB,thesis_exp/src/edujudge/exp07_rank_consistent/calibration_inventory_exp07.py,PASS,10622
not checkpoint/weight artifact,thesis_exp/src/edujudge/exp07_rank_consistent/calibration_inventory_exp07.py,PASS,
no API key string,thesis_exp/src/edujudge/exp07_rank_consistent/calibration_inventory_exp07.py,PASS,
no CRLF line endings,thesis_exp/src/edujudge/exp07_rank_consistent/collect_exp07_results.py,PASS,
no CR-only line endings,thesis_exp/src/edujudge/exp07_rank_consistent/collect_exp07_results.py,PASS,
LF line endings,thesis_exp/src/edujudge/exp07_rank_consistent/collect_exp07_results.py,PASS,
first line <= 1000 chars,thesis_exp/src/edujudge/exp07_rank_consistent/collect_exp07_results.py,PASS,72
not collapsed-line file,thesis_exp/src/edujudge/exp07_rank_consistent/collect_exp07_results.py,PASS,464
file size below 20MB,thesis_exp/src/edujudge/exp07_rank_consistent/collect_exp07_results.py,PASS,18052
not checkpoint/weight artifact,thesis_exp/src/edujudge/exp07_rank_consistent/collect_exp07_results.py,PASS,
no API key string,thesis_exp/src/edujudge/exp07_rank_consistent/collect_exp07_results.py,PASS,
no CRLF line endings,thesis_exp/src/edujudge/exp07_rank_consistent/coral_head.py,PASS,
no CR-only line endings,thesis_exp/src/edujudge/exp07_rank_consistent/coral_head.py,PASS,
LF line endings,thesis_exp/src/edujudge/exp07_rank_consistent/coral_head.py,PASS,
first line <= 1000 chars,thesis_exp/src/edujudge/exp07_rank_consistent/coral_head.py,PASS,55
not collapsed-line file,thesis_exp/src/edujudge/exp07_rank_consistent/coral_head.py,PASS,72
file size below 20MB,thesis_exp/src/edujudge/exp07_rank_consistent/coral_head.py,PASS,2910
not checkpoint/weight artifact,thesis_exp/src/edujudge/exp07_rank_consistent/coral_head.py,PASS,
no API key string,thesis_exp/src/edujudge/exp07_rank_consistent/coral_head.py,PASS,
no CRLF line endings,thesis_exp/src/edujudge/exp07_rank_consistent/data.py,PASS,
no CR-only line endings,thesis_exp/src/edujudge/exp07_rank_consistent/data.py,PASS,
LF line endings,thesis_exp/src/edujudge/exp07_rank_consistent/data.py,PASS,
first line <= 1000 chars,thesis_exp/src/edujudge/exp07_rank_consistent/data.py,PASS,52
not collapsed-line file,thesis_exp/src/edujudge/exp07_rank_consistent/data.py,PASS,87
file size below 20MB,thesis_exp/src/edujudge/exp07_rank_consistent/data.py,PASS,3463
not checkpoint/weight artifact,thesis_exp/src/edujudge/exp07_rank_consistent/data.py,PASS,
no API key string,thesis_exp/src/edujudge/exp07_rank_consistent/data.py,PASS,
no CRLF line endings,thesis_exp/src/edujudge/exp07_rank_consistent/diagnose_qdr1.py,PASS,
no CR-only line endings,thesis_exp/src/edujudge/exp07_rank_consistent/diagnose_qdr1.py,PASS,
LF line endings,thesis_exp/src/edujudge/exp07_rank_consistent/diagnose_qdr1.py,PASS,
first line <= 1000 chars,thesis_exp/src/edujudge/exp07_rank_consistent/diagnose_qdr1.py,PASS,82
not collapsed-line file,thesis_exp/src/edujudge/exp07_rank_consistent/diagnose_qdr1.py,PASS,306
file size below 20MB,thesis_exp/src/edujudge/exp07_rank_consistent/diagnose_qdr1.py,PASS,14588
not checkpoint/weight artifact,thesis_exp/src/edujudge/exp07_rank_consistent/diagnose_qdr1.py,PASS,
no API key string,thesis_exp/src/edujudge/exp07_rank_consistent/diagnose_qdr1.py,PASS,
no CRLF line endings,thesis_exp/src/edujudge/exp07_rank_consistent/evaluate_calibration.py,PASS,
no CR-only line endings,thesis_exp/src/edujudge/exp07_rank_consistent/evaluate_calibration.py,PASS,
LF line endings,thesis_exp/src/edujudge/exp07_rank_consistent/evaluate_calibration.py,PASS,
first line <= 1000 chars,thesis_exp/src/edujudge/exp07_rank_consistent/evaluate_calibration.py,PASS,65
not collapsed-line file,thesis_exp/src/edujudge/exp07_rank_consistent/evaluate_calibration.py,PASS,409
file size below 20MB,thesis_exp/src/edujudge/exp07_rank_consistent/evaluate_calibration.py,PASS,18969
not checkpoint/weight artifact,thesis_exp/src/edujudge/exp07_rank_consistent/evaluate_calibration.py,PASS,
no API key string,thesis_exp/src/edujudge/exp07_rank_consistent/evaluate_calibration.py,PASS,
no CRLF line endings,thesis_exp/src/edujudge/exp07_rank_consistent/evaluate_selective_calibration.py,PASS,
no CR-only line endings,thesis_exp/src/edujudge/exp07_rank_consistent/evaluate_selective_calibration.py,PASS,
LF line endings,thesis_exp/src/edujudge/exp07_rank_consistent/evaluate_selective_calibration.py,PASS,
first line <= 1000 chars,thesis_exp/src/edujudge/exp07_rank_consistent/evaluate_selective_calibration.py,PASS,73
not collapsed-line file,thesis_exp/src/edujudge/exp07_rank_consistent/evaluate_selective_calibration.py,PASS,567
file size below 20MB,thesis_exp/src/edujudge/exp07_rank_consistent/evaluate_selective_calibration.py,PASS,23883
not checkpoint/weight artifact,thesis_exp/src/edujudge/exp07_rank_consistent/evaluate_selective_calibration.py,PASS,
no API key string,thesis_exp/src/edujudge/exp07_rank_consistent/evaluate_selective_calibration.py,PASS,
no CRLF line endings,thesis_exp/src/edujudge/exp07_rank_consistent/evaluate_selective_robustness.py,PASS,
no CR-only line endings,thesis_exp/src/edujudge/exp07_rank_consistent/evaluate_selective_robustness.py,PASS,
LF line endings,thesis_exp/src/edujudge/exp07_rank_consistent/evaluate_selective_robustness.py,PASS,
first line <= 1000 chars,thesis_exp/src/edujudge/exp07_rank_consistent/evaluate_selective_robustness.py,PASS,65
not collapsed-line file,thesis_exp/src/edujudge/exp07_rank_consistent/evaluate_selective_robustness.py,PASS,701
file size below 20MB,thesis_exp/src/edujudge/exp07_rank_consistent/evaluate_selective_robustness.py,PASS,33381
not checkpoint/weight artifact,thesis_exp/src/edujudge/exp07_rank_consistent/evaluate_selective_robustness.py,PASS,
no API key string,thesis_exp/src/edujudge/exp07_rank_consistent/evaluate_selective_robustness.py,PASS,
no CRLF line endings,thesis_exp/src/edujudge/exp07_rank_consistent/evaluate_server_calibration.py,PASS,
no CR-only line endings,thesis_exp/src/edujudge/exp07_rank_consistent/evaluate_server_calibration.py,PASS,
LF line endings,thesis_exp/src/edujudge/exp07_rank_consistent/evaluate_server_calibration.py,PASS,
first line <= 1000 chars,thesis_exp/src/edujudge/exp07_rank_consistent/evaluate_server_calibration.py,PASS,73
