comparison,metric,baseline_run_id,baseline_value,qdpr1_value,delta,direction,status
QD-PR1_minus_QD-B0,low_to_high_rate,QD-B0_human_only_ordinary_ordinal,0.5161290322580645,0.5161290322580645,0.0,lower_better,
QD-PR1_minus_QD-B0,MAE_label,QD-B0_human_only_ordinary_ordinal,0.4019341190692051,0.45451798126322146,0.05258386219401634,lower_better,
QD-PR1_minus_QD-B0,MAE_expected,QD-B0_human_only_ordinary_ordinal,0.37631541153116166,0.4310548794954223,0.05473946796426066,lower_better,
QD-PR1_minus_QD-B0,Accuracy,QD-B0_human_only_ordinary_ordinal,0.6935630099728014,0.6400725294650952,-0.05349048050770622,higher_better,
QD-PR1_minus_QD-B0,Quadratic Weighted Kappa,QD-B0_human_only_ordinary_ordinal,0.5976217823018422,0.5473117789228875,-0.05031000337895464,higher_better,
QD-PR1_minus_QD-B0,Kendall tau,QD-B0_human_only_ordinary_ordinal,0.5293242185530982,0.454532962190567,-0.0747912563625312,higher_better,
QD-PR1_minus_QD-B0,Spearman rho,QD-B0_human_only_ordinary_ordinal,0.5912981227564057,0.5117367248286756,-0.0795613979277301,higher_better,
QD-PR1_minus_QD-B0,Acc@5,QD-B0_human_only_ordinary_ordinal,0.7873376623376623,0.6915584415584416,-0.09577922077922074,higher_better,
QD-PR1_minus_QD-B0,high_to_mid_or_low_rate,QD-B0_human_only_ordinary_ordinal,0.003246753246753247,0.01461038961038961,0.011363636363636364,lower_better,
QD-PR1_minus_QD-B0,monotonic_violation_rate,QD-B0_human_only_ordinary_ordinal,0.1985494106980961,0.7615593834995467,0.5630099728014506,lower_better,
QD-PR1_minus_QD-B1,low_to_high_rate,QD-B1_human_only_L1_weighted_ordinal,0.45161290322580644,0.5161290322580645,0.06451612903225806,lower_better,
QD-PR1_minus_QD-B1,MAE_label,QD-B1_human_only_L1_weighted_ordinal,0.42792384406165007,0.45451798126322146,0.02659413720157139,lower_better,
QD-PR1_minus_QD-B1,MAE_expected,QD-B1_human_only_L1_weighted_ordinal,0.3980361290190023,0.4310548794954223,0.03301875047642,lower_better,
QD-PR1_minus_QD-B1,Accuracy,QD-B1_human_only_L1_weighted_ordinal,0.670897552130553,0.6400725294650952,-0.030825022665457835,higher_better,
QD-PR1_minus_QD-B1,Quadratic Weighted Kappa,QD-B1_human_only_L1_weighted_ordinal,0.6012356007375432,0.5473117789228875,-0.053923821814655715,higher_better,
QD-PR1_minus_QD-B1,Kendall tau,QD-B1_human_only_L1_weighted_ordinal,0.5265979428764057,0.454532962190567,-0.07206498068583872,higher_better,
QD-PR1_minus_QD-B1,Spearman rho,QD-B1_human_only_L1_weighted_ordinal,0.5931744288310964,0.5117367248286756,-0.08143770400242079,higher_better,
QD-PR1_minus_QD-B1,Acc@5,QD-B1_human_only_L1_weighted_ordinal,0.7418831168831169,0.6915584415584416,-0.05032467532467533,higher_better,
QD-PR1_minus_QD-B1,high_to_mid_or_low_rate,QD-B1_human_only_L1_weighted_ordinal,0.01461038961038961,0.01461038961038961,0.0,lower_better,
QD-PR1_minus_QD-B1,monotonic_violation_rate,QD-B1_human_only_L1_weighted_ordinal,0.3118766999093382,0.7615593834995467,0.44968268359020847,lower_better,
QD-PR1_minus_QD-R1,low_to_high_rate,QD-R1_CORAL_human_only,0.5161290322580645,0.5161290322580645,0.0,lower_better,
QD-PR1_minus_QD-R1,MAE_label,QD-R1_CORAL_human_only,0.4466606225445754,0.45451798126322146,0.007857358718646068,lower_better,
