model,split,pred_label,low_true_count,pred_count,pred_rate,low_to_high_count,low_to_high_rate,low_to_mid_count,low_to_mid_rate,exact_count,exact_rate
low-score weighted ordinal baseline,dev,1,57,13,0.22807017543859648,28,0.49122807017543857,12,0.21052631578947367,17,0.2982456140350877
low-score weighted ordinal baseline,dev,2,57,4,0.07017543859649122,28,0.49122807017543857,12,0.21052631578947367,17,0.2982456140350877
low-score weighted ordinal baseline,dev,3,57,12,0.21052631578947367,28,0.49122807017543857,12,0.21052631578947367,17,0.2982456140350877
low-score weighted ordinal baseline,dev,4,57,12,0.21052631578947367,28,0.49122807017543857,12,0.21052631578947367,17,0.2982456140350877
low-score weighted ordinal baseline,dev,5,57,16,0.2807017543859649,28,0.49122807017543857,12,0.21052631578947367,17,0.2982456140350877
low-score weighted ordinal baseline,test,1,31,8,0.25806451612903225,14,0.45161290322580644,9,0.2903225806451613,8,0.25806451612903225
low-score weighted ordinal baseline,test,2,31,0,0.0,14,0.45161290322580644,9,0.2903225806451613,8,0.25806451612903225
low-score weighted ordinal baseline,test,3,31,9,0.2903225806451613,14,0.45161290322580644,9,0.2903225806451613,8,0.25806451612903225
low-score weighted ordinal baseline,test,4,31,9,0.2903225806451613,14,0.45161290322580644,9,0.2903225806451613,8,0.25806451612903225
low-score weighted ordinal baseline,test,5,31,5,0.16129032258064516,14,0.45161290322580644,9,0.2903225806451613,8,0.25806451612903225
anchored pairwise boundary fine-tuning,dev,1,57,13,0.22807017543859648,28,0.49122807017543857,13,0.22807017543859648,16,0.2807017543859649
anchored pairwise boundary fine-tuning,dev,2,57,3,0.05263157894736842,28,0.49122807017543857,13,0.22807017543859648,16,0.2807017543859649
anchored pairwise boundary fine-tuning,dev,3,57,13,0.22807017543859648,28,0.49122807017543857,13,0.22807017543859648,16,0.2807017543859649
anchored pairwise boundary fine-tuning,dev,4,57,12,0.21052631578947367,28,0.49122807017543857,13,0.22807017543859648,16,0.2807017543859649
anchored pairwise boundary fine-tuning,dev,5,57,16,0.2807017543859649,28,0.49122807017543857,13,0.22807017543859648,16,0.2807017543859649
anchored pairwise boundary fine-tuning,test,1,31,8,0.25806451612903225,12,0.3870967741935484,11,0.3548387096774194,8,0.25806451612903225
anchored pairwise boundary fine-tuning,test,2,31,0,0.0,12,0.3870967741935484,11,0.3548387096774194,8,0.25806451612903225
anchored pairwise boundary fine-tuning,test,3,31,11,0.3548387096774194,12,0.3870967741935484,11,0.3548387096774194,8,0.25806451612903225
anchored pairwise boundary fine-tuning,test,4,31,7,0.22580645161290322,12,0.3870967741935484,11,0.3548387096774194,8,0.25806451612903225
anchored pairwise boundary fine-tuning,test,5,31,5,0.16129032258064516,12,0.3870967741935484,11,0.3548387096774194,8,0.25806451612903225
