check_name,path,status,details
python py_compile,thesis_exp/src/edujudge/exp09_pairwise_ordinal/qdpr2_setup.py,PASS,
python py_compile,thesis_exp/src/edujudge/exp09_pairwise_ordinal/sanity_check_qdpr2_setup.py,PASS,
python py_compile,thesis_exp/src/edujudge/exp09_pairwise_ordinal/train_qdpr2_anchored_pairwise.py,PASS,
python py_compile,thesis_exp/src/edujudge/exp09_pairwise_ordinal/readability_check_qdpr2.py,PASS,
shell bash -n,thesis_exp/scripts/run_exp09_qdpr2_smoke.sh,PASS,
shell bash -n,thesis_exp/scripts/run_exp09_qdpr2_train.sh,PASS,
shell bash -n,thesis_exp/scripts/sync_exp09_qdpr2_to_server.sh,PASS,
no CRLF line endings,thesis_exp/src/edujudge/exp09_pairwise_ordinal/qdpr2_setup.py,PASS,
no CR-only line endings,thesis_exp/src/edujudge/exp09_pairwise_ordinal/qdpr2_setup.py,PASS,
LF line endings,thesis_exp/src/edujudge/exp09_pairwise_ordinal/qdpr2_setup.py,PASS,
first line <= 1000 chars,thesis_exp/src/edujudge/exp09_pairwise_ordinal/qdpr2_setup.py,PASS,66
not collapsed-line file,thesis_exp/src/edujudge/exp09_pairwise_ordinal/qdpr2_setup.py,PASS,483
minimum line count,thesis_exp/src/edujudge/exp09_pairwise_ordinal/qdpr2_setup.py,PASS,lines=483; min>=250
no CRLF line endings,thesis_exp/src/edujudge/exp09_pairwise_ordinal/sanity_check_qdpr2_setup.py,PASS,
no CR-only line endings,thesis_exp/src/edujudge/exp09_pairwise_ordinal/sanity_check_qdpr2_setup.py,PASS,
LF line endings,thesis_exp/src/edujudge/exp09_pairwise_ordinal/sanity_check_qdpr2_setup.py,PASS,
first line <= 1000 chars,thesis_exp/src/edujudge/exp09_pairwise_ordinal/sanity_check_qdpr2_setup.py,PASS,70
not collapsed-line file,thesis_exp/src/edujudge/exp09_pairwise_ordinal/sanity_check_qdpr2_setup.py,PASS,187
minimum line count,thesis_exp/src/edujudge/exp09_pairwise_ordinal/sanity_check_qdpr2_setup.py,PASS,lines=187; min>=150
no CRLF line endings,thesis_exp/src/edujudge/exp09_pairwise_ordinal/train_qdpr2_anchored_pairwise.py,PASS,
no CR-only line endings,thesis_exp/src/edujudge/exp09_pairwise_ordinal/train_qdpr2_anchored_pairwise.py,PASS,
LF line endings,thesis_exp/src/edujudge/exp09_pairwise_ordinal/train_qdpr2_anchored_pairwise.py,PASS,
first line <= 1000 chars,thesis_exp/src/edujudge/exp09_pairwise_ordinal/train_qdpr2_anchored_pairwise.py,PASS,68
not collapsed-line file,thesis_exp/src/edujudge/exp09_pairwise_ordinal/train_qdpr2_anchored_pairwise.py,PASS,785
minimum line count,thesis_exp/src/edujudge/exp09_pairwise_ordinal/train_qdpr2_anchored_pairwise.py,PASS,lines=785; min>=300
no CRLF line endings,thesis_exp/src/edujudge/exp09_pairwise_ordinal/readability_check_qdpr2.py,PASS,
no CR-only line endings,thesis_exp/src/edujudge/exp09_pairwise_ordinal/readability_check_qdpr2.py,PASS,
