ablation_name,display_name,status,true_low_n,pred_label,count,rate
full_qdpr2,full_qdpr2,completed,31,1,8,0.25806451612903225
full_qdpr2,full_qdpr2,completed,31,2,0,0.0
full_qdpr2,full_qdpr2,completed,31,3,9,0.2903225806451613
full_qdpr2,full_qdpr2,completed,31,4,8,0.25806451612903225
full_qdpr2,full_qdpr2,completed,31,5,6,0.1935483870967742
no_pair,no_pair_pointwise_loader,completed,31,1,8,0.25806451612903225
no_pair,no_pair_pointwise_loader,completed,31,2,0,0.0
no_pair,no_pair_pointwise_loader,completed,31,3,9,0.2903225806451613
no_pair,no_pair_pointwise_loader,completed,31,4,8,0.25806451612903225
no_pair,no_pair_pointwise_loader,completed,31,5,6,0.1935483870967742
no_pair_same_pair_batches,no_pair_same_pair_batches,completed,31,1,8,0.25806451612903225
no_pair_same_pair_batches,no_pair_same_pair_batches,completed,31,2,0,0.0
no_pair_same_pair_batches,no_pair_same_pair_batches,completed,31,3,9,0.2903225806451613
no_pair_same_pair_batches,no_pair_same_pair_batches,completed,31,4,8,0.25806451612903225
no_pair_same_pair_batches,no_pair_same_pair_batches,completed,31,5,6,0.1935483870967742
no_anchor,no_anchor,completed,31,1,8,0.25806451612903225
no_anchor,no_anchor,completed,31,2,0,0.0
no_anchor,no_anchor,completed,31,3,8,0.25806451612903225
no_anchor,no_anchor,completed,31,4,9,0.2903225806451613
no_anchor,no_anchor,completed,31,5,6,0.1935483870967742
no_mono,no_mono,completed,31,1,8,0.25806451612903225
no_mono,no_mono,completed,31,2,0,0.0
no_mono,no_mono,completed,31,3,10,0.3225806451612903
no_mono,no_mono,completed,31,4,8,0.25806451612903225
no_mono,no_mono,completed,31,5,5,0.16129032258064516
point_only,point_only,completed,31,1,8,0.25806451612903225
point_only,point_only,completed,31,2,0,0.0
point_only,point_only,completed,31,3,10,0.3225806451612903
point_only,point_only,completed,31,4,7,0.22580645161290322
point_only,point_only,completed,31,5,6,0.1935483870967742
no_point_diagnostic,no_point_diagnostic,completed,31,1,8,0.25806451612903225
no_point_diagnostic,no_point_diagnostic,completed,31,2,0,0.0
no_point_diagnostic,no_point_diagnostic,completed,31,3,9,0.2903225806451613
no_point_diagnostic,no_point_diagnostic,completed,31,4,9,0.2903225806451613
no_point_diagnostic,no_point_diagnostic,completed,31,5,5,0.16129032258064516
