ablation_name,display_name,status,label_5,n,low_to_high_count,low_to_high_rate
full_qdpr2,full_qdpr2,completed,1,9,1,0.1111111111111111
full_qdpr2,full_qdpr2,completed,2,22,13,0.5909090909090909
no_pair,no_pair_pointwise_loader,completed,1,9,1,0.1111111111111111
no_pair,no_pair_pointwise_loader,completed,2,22,13,0.5909090909090909
no_pair_same_pair_batches,no_pair_same_pair_batches,completed,1,9,1,0.1111111111111111
no_pair_same_pair_batches,no_pair_same_pair_batches,completed,2,22,13,0.5909090909090909
no_anchor,no_anchor,completed,1,9,1,0.1111111111111111
no_anchor,no_anchor,completed,2,22,14,0.6363636363636364
no_mono,no_mono,completed,1,9,1,0.1111111111111111
no_mono,no_mono,completed,2,22,12,0.5454545454545454
point_only,point_only,completed,1,9,1,0.1111111111111111
point_only,point_only,completed,2,22,12,0.5454545454545454
no_point_diagnostic,no_point_diagnostic,completed,1,9,1,0.1111111111111111
no_point_diagnostic,no_point_diagnostic,completed,2,22,13,0.5909090909090909
