comparison,ablation_name,display_name,removed_module,dataloader_mode,force_pair_training,strict_module_ablation,metric,reference_value,ablation_value,delta,direction,improved,interpretation
vs_full_qdpr2,full_qdpr2,full_qdpr2,none,pair,False,False,low_to_high_rate,0.45161290322580644,0.45161290322580644,0.0,lower_better,false,Reference QD-PR2 objective with all planned loss terms active.
vs_full_qdpr2,full_qdpr2,full_qdpr2,none,pair,False,False,low_to_high_count,14.0,14.0,0.0,lower_better,false,Reference QD-PR2 objective with all planned loss terms active.
vs_full_qdpr2,full_qdpr2,full_qdpr2,none,pair,False,False,MAE,0.4146267754608643,0.4146267754608643,0.0,lower_better,false,Reference QD-PR2 objective with all planned loss terms active.
vs_full_qdpr2,full_qdpr2,full_qdpr2,none,pair,False,False,QWK,0.6028008872719937,0.6028008872719937,0.0,higher_better,false,Reference QD-PR2 objective with all planned loss terms active.
vs_full_qdpr2,full_qdpr2,full_qdpr2,none,pair,False,False,Accuracy,0.6844968268359021,0.6844968268359021,0.0,higher_better,false,Reference QD-PR2 objective with all planned loss terms active.
vs_full_qdpr2,full_qdpr2,full_qdpr2,none,pair,False,False,Acc@5,0.7775974025974026,0.7775974025974026,0.0,higher_better,false,Reference QD-PR2 objective with all planned loss terms active.
vs_full_qdpr2,full_qdpr2,full_qdpr2,none,pair,False,False,monotonic_violation_rate,0.3626473254759746,0.3626473254759746,0.0,lower_better,false,Reference QD-PR2 objective with all planned loss terms active.
vs_full_qdpr2,full_qdpr2,full_qdpr2,none,pair,False,False,p1_lt_p2_rate,0.3073436083408885,0.3073436083408885,0.0,lower_better,false,Reference QD-PR2 objective with all planned loss terms active.
vs_full_qdpr2,full_qdpr2,full_qdpr2,none,pair,False,False,p2_lt_p3_rate,0.05893019038984588,0.05893019038984588,0.0,lower_better,false,Reference QD-PR2 objective with all planned loss terms active.
vs_full_qdpr2,full_qdpr2,full_qdpr2,none,pair,False,False,p3_lt_p4_rate,0.009972801450589302,0.009972801450589302,0.0,lower_better,false,Reference QD-PR2 objective with all planned loss terms active.
vs_full_qdpr2,no_pair,no_pair_pointwise_loader,L_pair,pointwise,False,False,low_to_high_rate,0.45161290322580644,0.45161290322580644,0.0,lower_better,false,Auxiliary diagnostic: removes L_pair and switches to the pointwise loader.
vs_full_qdpr2,no_pair,no_pair_pointwise_loader,L_pair,pointwise,False,False,low_to_high_count,14.0,14.0,0.0,lower_better,false,Auxiliary diagnostic: removes L_pair and switches to the pointwise loader.
vs_full_qdpr2,no_pair,no_pair_pointwise_loader,L_pair,pointwise,False,False,MAE,0.4146267754608643,0.4194620731338773,0.004835297673012995,lower_better,false,Auxiliary diagnostic: removes L_pair and switches to the pointwise loader.
vs_full_qdpr2,no_pair,no_pair_pointwise_loader,L_pair,pointwise,False,False,QWK,0.6028008872719937,0.6041144123838349,0.0013135251118412405,higher_better,true,Auxiliary diagnostic: removes L_pair and switches to the pointwise loader.
vs_full_qdpr2,no_pair,no_pair_pointwise_loader,L_pair,pointwise,False,False,Accuracy,0.6844968268359021,0.6781504986400725,-0.006346328195829587,higher_better,false,Auxiliary diagnostic: removes L_pair and switches to the pointwise loader.
vs_full_qdpr2,no_pair,no_pair_pointwise_loader,L_pair,pointwise,False,False,Acc@5,0.7775974025974026,0.7662337662337663,-0.011363636363636354,higher_better,false,Auxiliary diagnostic: removes L_pair and switches to the pointwise loader.
vs_full_qdpr2,no_pair,no_pair_pointwise_loader,L_pair,pointwise,False,False,monotonic_violation_rate,0.3626473254759746,0.41160471441523117,0.04895738893925655,lower_better,false,Auxiliary diagnostic: removes L_pair and switches to the pointwise loader.
vs_full_qdpr2,no_pair,no_pair_pointwise_loader,L_pair,pointwise,False,False,p1_lt_p2_rate,0.3073436083408885,0.36899365367180414,0.06165004533091567,lower_better,false,Auxiliary diagnostic: removes L_pair and switches to the pointwise loader.
vs_full_qdpr2,no_pair,no_pair_pointwise_loader,L_pair,pointwise,False,False,p2_lt_p3_rate,0.05893019038984588,0.038984587488667274,-0.019945602901178604,lower_better,true,Auxiliary diagnostic: removes L_pair and switches to the pointwise loader.
vs_full_qdpr2,no_pair,no_pair_pointwise_loader,L_pair,pointwise,False,False,p3_lt_p4_rate,0.009972801450589302,0.014505893019038985,0.004533091568449683,lower_better,false,Auxiliary diagnostic: removes L_pair and switches to the pointwise loader.
vs_full_qdpr2,no_pair_same_pair_batches,no_pair_same_pair_batches,L_pair,pair,True,True,low_to_high_rate,0.45161290322580644,0.45161290322580644,0.0,lower_better,false,Primary L_pair evidence: removes the L_pair gradient contribution under identical pair-batch exposure.
vs_full_qdpr2,no_pair_same_pair_batches,no_pair_same_pair_batches,L_pair,pair,True,True,low_to_high_count,14.0,14.0,0.0,lower_better,false,Primary L_pair evidence: removes the L_pair gradient contribution under identical pair-batch exposure.
vs_full_qdpr2,no_pair_same_pair_batches,no_pair_same_pair_batches,L_pair,pair,True,True,MAE,0.4146267754608643,0.4209731036566938,0.0063463281958295314,lower_better,false,Primary L_pair evidence: removes the L_pair gradient contribution under identical pair-batch exposure.
