ablation_name,display_name,status,threshold_pair,n,violation_count,violation_rate
full_qdpr2,full_qdpr2,completed,p1<p2,1103,339,0.3073436083408885
full_qdpr2,full_qdpr2,completed,p2<p3,1103,65,0.05893019038984588
full_qdpr2,full_qdpr2,completed,p3<p4,1103,11,0.009972801450589302
no_pair,no_pair_pointwise_loader,completed,p1<p2,1103,407,0.36899365367180414
no_pair,no_pair_pointwise_loader,completed,p2<p3,1103,43,0.038984587488667274
no_pair,no_pair_pointwise_loader,completed,p3<p4,1103,16,0.014505893019038985
no_pair_same_pair_batches,no_pair_same_pair_batches,completed,p1<p2,1103,343,0.3109700815956482
no_pair_same_pair_batches,no_pair_same_pair_batches,completed,p2<p3,1103,44,0.03989120580235721
no_pair_same_pair_batches,no_pair_same_pair_batches,completed,p3<p4,1103,12,0.010879419764279238
no_anchor,no_anchor,completed,p1<p2,1103,542,0.4913871260199456
no_anchor,no_anchor,completed,p2<p3,1103,223,0.20217588395285585
no_anchor,no_anchor,completed,p3<p4,1103,14,0.012692656391659111
no_mono,no_mono,completed,p1<p2,1103,334,0.3028105167724388
no_mono,no_mono,completed,p2<p3,1103,55,0.04986400725294651
no_mono,no_mono,completed,p3<p4,1103,13,0.011786038077969175
point_only,point_only,completed,p1<p2,1103,403,0.3653671804170444
point_only,point_only,completed,p2<p3,1103,62,0.056210335448776065
point_only,point_only,completed,p3<p4,1103,16,0.014505893019038985
no_point_diagnostic,no_point_diagnostic,completed,p1<p2,1103,269,0.24388032638259294
no_point_diagnostic,no_point_diagnostic,completed,p2<p3,1103,39,0.03535811423390753
no_point_diagnostic,no_point_diagnostic,completed,p3<p4,1103,11,0.009972801450589302
