baseline_name,ablation_name,display_name,metric,baseline_value,ablation_value,delta,direction,improved
QD-B1_low_score_weighted_ordinal,full_qdpr2,full_qdpr2,low_to_high_rate,0.45161290322580644,0.45161290322580644,0.0,lower_better,false
QD-B1_low_score_weighted_ordinal,full_qdpr2,full_qdpr2,low_to_high_count,14.0,14.0,0.0,lower_better,false
QD-B1_low_score_weighted_ordinal,full_qdpr2,full_qdpr2,MAE,0.42792384406165007,0.4146267754608643,-0.013297068600785777,lower_better,true
QD-B1_low_score_weighted_ordinal,full_qdpr2,full_qdpr2,QWK,0.6012356007375432,0.6028008872719937,0.0015652865344504274,higher_better,true
QD-B1_low_score_weighted_ordinal,full_qdpr2,full_qdpr2,Accuracy,0.670897552130553,0.6844968268359021,0.013599274705349051,higher_better,true
QD-B1_low_score_weighted_ordinal,full_qdpr2,full_qdpr2,Acc@5,0.7418831168831169,0.7775974025974026,0.0357142857142857,higher_better,true
QD-B1_low_score_weighted_ordinal,full_qdpr2,full_qdpr2,monotonic_violation_rate,0.3118766999093382,0.3626473254759746,0.05077062556663642,lower_better,false
QD-B1_low_score_weighted_ordinal,full_qdpr2,full_qdpr2,p1_lt_p2_rate,nan,0.3073436083408885,nan,lower_better,
QD-B1_low_score_weighted_ordinal,full_qdpr2,full_qdpr2,p2_lt_p3_rate,nan,0.05893019038984588,nan,lower_better,
QD-B1_low_score_weighted_ordinal,full_qdpr2,full_qdpr2,p3_lt_p4_rate,nan,0.009972801450589302,nan,lower_better,
QD-B1_low_score_weighted_ordinal,no_pair,no_pair_pointwise_loader,low_to_high_rate,0.45161290322580644,0.45161290322580644,0.0,lower_better,false
QD-B1_low_score_weighted_ordinal,no_pair,no_pair_pointwise_loader,low_to_high_count,14.0,14.0,0.0,lower_better,false
QD-B1_low_score_weighted_ordinal,no_pair,no_pair_pointwise_loader,MAE,0.42792384406165007,0.4194620731338773,-0.008461770927772783,lower_better,true
QD-B1_low_score_weighted_ordinal,no_pair,no_pair_pointwise_loader,QWK,0.6012356007375432,0.6041144123838349,0.002878811646291668,higher_better,true
QD-B1_low_score_weighted_ordinal,no_pair,no_pair_pointwise_loader,Accuracy,0.670897552130553,0.6781504986400725,0.0072529465095194645,higher_better,true
QD-B1_low_score_weighted_ordinal,no_pair,no_pair_pointwise_loader,Acc@5,0.7418831168831169,0.7662337662337663,0.024350649350649345,higher_better,true
QD-B1_low_score_weighted_ordinal,no_pair,no_pair_pointwise_loader,monotonic_violation_rate,0.3118766999093382,0.41160471441523117,0.09972801450589297,lower_better,false
QD-B1_low_score_weighted_ordinal,no_pair,no_pair_pointwise_loader,p1_lt_p2_rate,nan,0.36899365367180414,nan,lower_better,
QD-B1_low_score_weighted_ordinal,no_pair,no_pair_pointwise_loader,p2_lt_p3_rate,nan,0.038984587488667274,nan,lower_better,
QD-B1_low_score_weighted_ordinal,no_pair,no_pair_pointwise_loader,p3_lt_p4_rate,nan,0.014505893019038985,nan,lower_better,
QD-B1_low_score_weighted_ordinal,no_pair_same_pair_batches,no_pair_same_pair_batches,low_to_high_rate,0.45161290322580644,0.45161290322580644,0.0,lower_better,false
QD-B1_low_score_weighted_ordinal,no_pair_same_pair_batches,no_pair_same_pair_batches,low_to_high_count,14.0,14.0,0.0,lower_better,false
QD-B1_low_score_weighted_ordinal,no_pair_same_pair_batches,no_pair_same_pair_batches,MAE,0.42792384406165007,0.4209731036566938,-0.006950740404956246,lower_better,true
QD-B1_low_score_weighted_ordinal,no_pair_same_pair_batches,no_pair_same_pair_batches,QWK,0.6012356007375432,0.6006083772333347,-0.0006272235042085184,higher_better,false
QD-B1_low_score_weighted_ordinal,no_pair_same_pair_batches,no_pair_same_pair_batches,Accuracy,0.670897552130553,0.6754306436990027,0.004533091568449721,higher_better,true
QD-B1_low_score_weighted_ordinal,no_pair_same_pair_batches,no_pair_same_pair_batches,Acc@5,0.7418831168831169,0.7548701298701299,0.012987012987012991,higher_better,true
QD-B1_low_score_weighted_ordinal,no_pair_same_pair_batches,no_pair_same_pair_batches,monotonic_violation_rate,0.3118766999093382,0.35176790571169536,0.039891205802357166,lower_better,false
QD-B1_low_score_weighted_ordinal,no_pair_same_pair_batches,no_pair_same_pair_batches,p1_lt_p2_rate,nan,0.3109700815956482,nan,lower_better,
QD-B1_low_score_weighted_ordinal,no_pair_same_pair_batches,no_pair_same_pair_batches,p2_lt_p3_rate,nan,0.03989120580235721,nan,lower_better,
QD-B1_low_score_weighted_ordinal,no_pair_same_pair_batches,no_pair_same_pair_batches,p3_lt_p4_rate,nan,0.010879419764279238,nan,lower_better,
QD-B1_low_score_weighted_ordinal,no_anchor,no_anchor,low_to_high_rate,0.45161290322580644,0.4838709677419355,0.03225806451612906,lower_better,false
QD-B1_low_score_weighted_ordinal,no_anchor,no_anchor,low_to_high_count,14.0,15.0,1.0,lower_better,false
QD-B1_low_score_weighted_ordinal,no_anchor,no_anchor,MAE,0.42792384406165007,0.4242973708068903,-0.0036264732547597878,lower_better,true
QD-B1_low_score_weighted_ordinal,no_anchor,no_anchor,QWK,0.6012356007375432,0.5860974614619433,-0.015138139275599927,higher_better,false
QD-B1_low_score_weighted_ordinal,no_anchor,no_anchor,Accuracy,0.670897552130553,0.6745240253853128,0.0036264732547597323,higher_better,true
QD-B1_low_score_weighted_ordinal,no_anchor,no_anchor,Acc@5,0.7418831168831169,0.7743506493506493,0.03246753246753242,higher_better,true
QD-B1_low_score_weighted_ordinal,no_anchor,no_anchor,monotonic_violation_rate,0.3118766999093382,0.6092475067996374,0.29737080689029916,lower_better,false
QD-B1_low_score_weighted_ordinal,no_anchor,no_anchor,p1_lt_p2_rate,nan,0.4913871260199456,nan,lower_better,
QD-B1_low_score_weighted_ordinal,no_anchor,no_anchor,p2_lt_p3_rate,nan,0.20217588395285585,nan,lower_better,
QD-B1_low_score_weighted_ordinal,no_anchor,no_anchor,p3_lt_p4_rate,nan,0.012692656391659111,nan,lower_better,
QD-B1_low_score_weighted_ordinal,no_mono,no_mono,low_to_high_rate,0.45161290322580644,0.41935483870967744,-0.032258064516129004,lower_better,true
QD-B1_low_score_weighted_ordinal,no_mono,no_mono,low_to_high_count,14.0,13.0,-1.0,lower_better,true
QD-B1_low_score_weighted_ordinal,no_mono,no_mono,MAE,0.42792384406165007,0.42187972197038376,-0.006044122091266313,lower_better,true
QD-B1_low_score_weighted_ordinal,no_mono,no_mono,QWK,0.6012356007375432,0.602509067495453,0.0012734667579097358,higher_better,true
QD-B1_low_score_weighted_ordinal,no_mono,no_mono,Accuracy,0.670897552130553,0.6736174070716229,0.0027198549410698547,higher_better,true
QD-B1_low_score_weighted_ordinal,no_mono,no_mono,Acc@5,0.7418831168831169,0.7548701298701299,0.012987012987012991,higher_better,true
QD-B1_low_score_weighted_ordinal,no_mono,no_mono,monotonic_violation_rate,0.3118766999093382,0.35448776065276516,0.042611060743426965,lower_better,false
QD-B1_low_score_weighted_ordinal,no_mono,no_mono,p1_lt_p2_rate,nan,0.3028105167724388,nan,lower_better,
QD-B1_low_score_weighted_ordinal,no_mono,no_mono,p2_lt_p3_rate,nan,0.04986400725294651,nan,lower_better,
QD-B1_low_score_weighted_ordinal,no_mono,no_mono,p3_lt_p4_rate,nan,0.011786038077969175,nan,lower_better,
QD-B1_low_score_weighted_ordinal,point_only,point_only,low_to_high_rate,0.45161290322580644,0.41935483870967744,-0.032258064516129004,lower_better,true
QD-B1_low_score_weighted_ordinal,point_only,point_only,low_to_high_count,14.0,13.0,-1.0,lower_better,true
QD-B1_low_score_weighted_ordinal,point_only,point_only,MAE,0.42792384406165007,0.41492898156542757,-0.012994862496222503,lower_better,true
