section,split,metric,exp09_value,exp10_value,delta_exp10_minus_exp09,match,diagnostic_note
evaluation code,dev,metric_script,thesis_exp/src/edujudge/exp09_pairwise_ordinal/metrics.py; prediction rows produced by train_qdpr2_anchored_pairwise.evaluate,thesis_exp/src/edujudge/exp09_pairwise_ordinal/metrics.py; prediction rows produced by train_qdpr2_anchored_pairwise.evaluate,,same,
evaluation code,dev,prediction_decoding_rule,pred_label_5 = 1 + count(prob_gt_k > 0.5 for k in 1..4),pred_label_5 = 1 + count(prob_gt_k > 0.5 for k in 1..4),,same,
evaluation code,dev,threshold_probability_columns,"prob_gt_1,prob_gt_2,prob_gt_3,prob_gt_4","prob_gt_1,prob_gt_2,prob_gt_3,prob_gt_4",,same,
evaluation code,dev,threshold_logit_columns,"logit_gt_1,logit_gt_2,logit_gt_3,logit_gt_4","logit_gt_1,logit_gt_2,logit_gt_3,logit_gt_4",,same,
selected-best metrics,dev,MAE,0.48509485094850946,0.4869015356820235,0.0018066847335140301,different,
selected-best metrics,dev,QWK,0.5599756964995626,0.5520220733149389,-0.00795362318462367,different,
selected-best metrics,dev,Accuracy,0.6422764227642277,0.6449864498644986,0.0027100271002709064,different,
selected-best metrics,dev,Acc@5,0.7805755395683454,0.7967625899280576,0.01618705035971224,different,
selected-best metrics,dev,monotonic_violation_rate,0.34778681120144533,0.34959349593495936,0.0018066847335140301,different,
low-score diagnosis,dev,true_low_count,57,57,0.0,same,
low-score diagnosis,dev,low_to_high_count,28,28,0.0,same,
low-score diagnosis,dev,low_to_high_rate,0.49122807017543857,0.49122807017543857,0.0,same,
low-score diagnosis,dev,label_1_count,19,19,0.0,same,
low-score diagnosis,dev,label_1_low_to_high_count,2,2,0.0,same,
low-score diagnosis,dev,label_1_low_to_high_rate,0.10526315789473684,0.10526315789473684,0.0,same,
low-score diagnosis,dev,label_2_count,38,38,0.0,same,
low-score diagnosis,dev,label_2_low_to_high_count,26,26,0.0,same,
low-score diagnosis,dev,label_2_low_to_high_rate,0.6842105263157895,0.6842105263157895,0.0,same,
evaluation code,test,metric_script,thesis_exp/src/edujudge/exp09_pairwise_ordinal/metrics.py; prediction rows produced by train_qdpr2_anchored_pairwise.evaluate,thesis_exp/src/edujudge/exp09_pairwise_ordinal/metrics.py; prediction rows produced by train_qdpr2_anchored_pairwise.evaluate,,same,
evaluation code,test,prediction_decoding_rule,pred_label_5 = 1 + count(prob_gt_k > 0.5 for k in 1..4),pred_label_5 = 1 + count(prob_gt_k > 0.5 for k in 1..4),,same,
evaluation code,test,threshold_probability_columns,"prob_gt_1,prob_gt_2,prob_gt_3,prob_gt_4","prob_gt_1,prob_gt_2,prob_gt_3,prob_gt_4",,same,
evaluation code,test,threshold_logit_columns,"logit_gt_1,logit_gt_2,logit_gt_3,logit_gt_4","logit_gt_1,logit_gt_2,logit_gt_3,logit_gt_4",,same,
selected-best metrics,test,MAE,0.41915986702931396,0.4146267754608643,-0.004533091568449665,different,
selected-best metrics,test,QWK,0.6083786422677057,0.6028008872719937,-0.005577754995712003,different,
selected-best metrics,test,Accuracy,0.6772438803263826,0.6844968268359021,0.0072529465095194645,different,
selected-best metrics,test,Acc@5,0.7548701298701299,0.7775974025974026,0.022727272727272707,different,
selected-best metrics,test,monotonic_violation_rate,0.3526745240253853,0.3626473254759746,0.00997280145058932,different,
low-score diagnosis,test,true_low_count,31,31,0.0,same,
low-score diagnosis,test,low_to_high_count,12,14,2.0,different,The requested 12/31 vs 14/31 gap appears here.
low-score diagnosis,test,low_to_high_rate,0.3870967741935484,0.45161290322580644,0.06451612903225806,different,
low-score diagnosis,test,label_1_count,9,9,0.0,same,
low-score diagnosis,test,label_1_low_to_high_count,1,1,0.0,same,
low-score diagnosis,test,label_1_low_to_high_rate,0.1111111111111111,0.1111111111111111,0.0,same,
low-score diagnosis,test,label_2_count,22,22,0.0,same,
low-score diagnosis,test,label_2_low_to_high_count,11,13,2.0,different,
low-score diagnosis,test,label_2_low_to_high_rate,0.5,0.5909090909090909,0.09090909090909094,different,
