split,pair_pool_attribute,exp09_value,exp10_value,match,diagnostic_note
train,pair_count,10000,10000,same,Exp10 full_qdpr2 uses the shared deterministic QD-PR2 pair pool generated for Exp09; no separate Exp10 pair archive was found locally.
train,pair_type_distribution,"{""adjacent"": 3000, ""low_high"": 4000, ""low_mid"": 2000, ""random_ordinal"": 1000}","{""adjacent"": 3000, ""low_high"": 4000, ""low_mid"": 2000, ""random_ordinal"": 1000}",same,Exp10 full_qdpr2 uses the shared deterministic QD-PR2 pair pool generated for Exp09; no separate Exp10 pair archive was found locally.
train,low_high_pair_count,4000,4000,same,Exp10 full_qdpr2 uses the shared deterministic QD-PR2 pair pool generated for Exp09; no separate Exp10 pair archive was found locally.
train,label_gap_distribution,"{""1"": 4236, ""2"": 2611, ""3"": 1837, ""4"": 1316}","{""1"": 4236, ""2"": 2611, ""3"": 1837, ""4"": 1316}",same,Exp10 full_qdpr2 uses the shared deterministic QD-PR2 pair pool generated for Exp09; no separate Exp10 pair archive was found locally.
train,pair_pool_hash,682c6affbedcef81c3f4133caf8963ae54e83f7d69ee9dd5085e8af3e17943af,682c6affbedcef81c3f4133caf8963ae54e83f7d69ee9dd5085e8af3e17943af,same,Exp10 full_qdpr2 uses the shared deterministic QD-PR2 pair pool generated for Exp09; no separate Exp10 pair archive was found locally.
train,shard_count,4,4,same,Exp10 full_qdpr2 uses the shared deterministic QD-PR2 pair pool generated for Exp09; no separate Exp10 pair archive was found locally.
train,first_pair_id,qdpr2_train_pair_000000,qdpr2_train_pair_000000,same,Exp10 full_qdpr2 uses the shared deterministic QD-PR2 pair pool generated for Exp09; no separate Exp10 pair archive was found locally.
train,last_pair_id,qdpr2_train_pair_009999,qdpr2_train_pair_009999,same,Exp10 full_qdpr2 uses the shared deterministic QD-PR2 pair pool generated for Exp09; no separate Exp10 pair archive was found locally.
dev,pair_count,3000,3000,same,Exp10 full_qdpr2 uses the shared deterministic QD-PR2 pair pool generated for Exp09; no separate Exp10 pair archive was found locally.
dev,pair_type_distribution,"{""adjacent"": 900, ""low_high"": 1200, ""low_mid"": 600, ""random_ordinal"": 300}","{""adjacent"": 900, ""low_high"": 1200, ""low_mid"": 600, ""random_ordinal"": 300}",same,Exp10 full_qdpr2 uses the shared deterministic QD-PR2 pair pool generated for Exp09; no separate Exp10 pair archive was found locally.
dev,low_high_pair_count,1200,1200,same,Exp10 full_qdpr2 uses the shared deterministic QD-PR2 pair pool generated for Exp09; no separate Exp10 pair archive was found locally.
dev,label_gap_distribution,"{""1"": 1361, ""2"": 730, ""3"": 693, ""4"": 216}","{""1"": 1361, ""2"": 730, ""3"": 693, ""4"": 216}",same,Exp10 full_qdpr2 uses the shared deterministic QD-PR2 pair pool generated for Exp09; no separate Exp10 pair archive was found locally.
dev,pair_pool_hash,0abf2e7d42b0faf25cebcde7f4a64bb277676dd19c741adc111047956b3f36d3,0abf2e7d42b0faf25cebcde7f4a64bb277676dd19c741adc111047956b3f36d3,same,Exp10 full_qdpr2 uses the shared deterministic QD-PR2 pair pool generated for Exp09; no separate Exp10 pair archive was found locally.
dev,shard_count,2,2,same,Exp10 full_qdpr2 uses the shared deterministic QD-PR2 pair pool generated for Exp09; no separate Exp10 pair archive was found locally.
dev,first_pair_id,qdpr2_dev_pair_000000,qdpr2_dev_pair_000000,same,Exp10 full_qdpr2 uses the shared deterministic QD-PR2 pair pool generated for Exp09; no separate Exp10 pair archive was found locally.
dev,last_pair_id,qdpr2_dev_pair_002999,qdpr2_dev_pair_002999,same,Exp10 full_qdpr2 uses the shared deterministic QD-PR2 pair pool generated for Exp09; no separate Exp10 pair archive was found locally.
