source,run_name,seed,epoch,split,decode_mode,monotonic_violation,p1_lt_p2,p2_lt_p3,p3_lt_p4
exp12b,map_oc_full,42,1,dev,projected,0.0,0.0,0.0,0.0
exp12b,map_oc_full,42,1,dev,raw,0.4878048780487805,0.3956639566395664,0.13550135501355012,0.017163504968383016
exp12b,map_oc_full,42,2,dev,projected,0.0,0.0,0.0,0.0
exp12b,map_oc_full,42,2,dev,raw,0.5492321589882565,0.43541102077687444,0.1878952122854562,0.01084010840108401
exp12b,map_oc_full,42,3,dev,projected,0.0,0.0,0.0,0.0
exp12b,map_oc_full,42,3,dev,raw,0.5411020776874436,0.4327009936766034,0.18879855465221318,0.012646793134598013
exp12b,train_projection_point_pair,42,1,dev,projected,0.0,0.0,0.0,0.0
exp12b,train_projection_point_pair,42,1,dev,raw,0.34688346883468835,0.26738934056007224,0.09033423667570009,0.013550135501355014
exp12b,train_projection_point_pair,42,2,dev,projected,0.0,0.0,0.0,0.0
exp12b,train_projection_point_pair,42,2,dev,raw,0.33875338753387535,0.27461607949412825,0.06775067750677506,0.015356820234869015
exp12b,train_projection_point_pair,42,3,dev,projected,0.0,0.0,0.0,0.0
exp12b,train_projection_point_pair,42,3,dev,raw,0.3523035230352303,0.28545618789521227,0.07046070460704607,0.014453477868112014
exp12b,train_projection_score,42,1,dev,projected,0.0,0.0,0.0,0.0
exp12b,train_projection_score,42,1,dev,raw,0.35140018066847334,0.26648599819331525,0.08852755194218609,0.017163504968383016
exp12b,train_projection_score,42,2,dev,projected,0.0,0.0,0.0,0.0
exp12b,train_projection_score,42,2,dev,raw,0.3523035230352303,0.2845528455284553,0.07407407407407407,0.015356820234869015
exp12b,train_projection_score,42,3,dev,projected,0.0,0.0,0.0,0.0
exp12b,train_projection_score,42,3,dev,raw,0.34959349593495936,0.27732610659439927,0.07407407407407407,0.017163504968383016
exp12b,map_oc_full,42,1,test,projected,0.0,0.0,0.0,0.0
exp12b,map_oc_full,42,1,test,raw,0.5258386219401632,0.47053490480507704,0.09156844968268359,0.012692656391659111
exp12b,map_oc_full,42,2,test,projected,0.0,0.0,0.0,0.0
exp12b,map_oc_full,42,2,test,raw,0.5784224841341795,0.4932003626473255,0.1468721668177697,0.009972801450589302
exp12b,map_oc_full,42,3,test,projected,0.0,0.0,0.0,0.0
exp12b,map_oc_full,42,3,test,raw,0.5720761559383499,0.4841341795104261,0.14505893019038985,0.011786038077969175
exp12b,train_projection_point_pair,42,1,test,projected,0.0,0.0,0.0,0.0
exp12b,train_projection_point_pair,42,1,test,raw,0.37262012692656393,0.31640979147778786,0.05983680870353581,0.008159564823209429
exp12b,train_projection_point_pair,42,2,test,projected,0.0,0.0,0.0,0.0
exp12b,train_projection_point_pair,42,2,test,raw,0.36899365367180414,0.31912964641885766,0.050770625566636446,0.009066183136899365
exp12b,train_projection_point_pair,42,3,test,projected,0.0,0.0,0.0,0.0
exp12b,train_projection_point_pair,42,3,test,raw,0.37352674524025387,0.3272892112420671,0.04805077062556664,0.010879419764279238
exp12b,train_projection_score,42,1,test,projected,0.0,0.0,0.0,0.0
exp12b,train_projection_score,42,1,test,raw,0.3644605621033545,0.3028105167724388,0.05983680870353581,0.010879419764279238
exp12b,train_projection_score,42,2,test,projected,0.0,0.0,0.0,0.0
exp12b,train_projection_score,42,2,test,raw,0.37262012692656393,0.32456935630099726,0.04623753399818677,0.010879419764279238
exp12b,train_projection_score,42,3,test,projected,0.0,0.0,0.0,0.0
exp12b,train_projection_score,42,3,test,raw,0.37080689029918407,0.3227561196736174,0.04986400725294651,0.010879419764279238
