experiment_id,hypothesis,baseline,changed_variable,actual_changes,split,backbone,input_fields,input_template,target,output,loss,sampler,inference,checkpoint_rule,seed,metric_implementation,reported_result,prediction_path,recomputed_result,evidence_level,validity,conclusion
Exp00,Build the processed dataset and fixed split,,,thesis_exp/outputs/exp00_data | thesis_exp/requirements-exp00.txt,,,,,,,,,,,,,,NOT_FOUND,NOT_RECOMPUTABLE,A,VALID_INFRASTRUCTURE,No stronger conclusion than the recorded evidence level.
Exp01,Reproduce evaluator-versus-human audit metrics,,,thesis_exp/outputs/exp01_audit,,,,,,,,,,,,early audit/human_mean,,thesis_exp/outputs/exp01_audit/predictions_aligned.jsonl,NOT_RECOMPUTABLE,A,VALID_METRIC_AUDIT,No stronger conclusion than the recorded evidence level.
Exp02,Reproduce the 0.6B hard-CE judge,paper EduBenchEvaluator,local reproduction,thesis_exp/README_exp02.md | thesis_exp/artifacts/exp02_ce_baseline | thesis_exp/configs/exp02 | thesis_exp/outputs/exp02_ce_baseline | thesis_exp/requirements-exp02.txt | thesis_exp/scripts/run_exp02_build_data.sh | thesis_exp/scripts/run_exp02_formal_train_0_6b_gpu7.sh | thesis_exp/scripts/run_exp02_train_ce_0_6b.sh | thesis_exp/src/edujudge/exp02,paper_like_triple_seed42,Qwen3-Reranker-0.6B,question|answer|metric_canonical,qa_metric_baseline,label_5,5-class logits,unweighted CE,uniform shuffled,argmax,highest dev Exact; earlier epoch on tie,42,human_mean primary,test Exact=.7299 MAE=.4238 Bias=+.1410 Kendall=.5693,thesis_exp/outputs/exp02_ce_baseline/predictions/predictions_dev.jsonl | thesis_exp/outputs/exp02_ce_baseline/predictions/predictions_dev_best.jsonl | thesis_exp/outputs/exp02_ce_baseline/predictions/predictions_test.jsonl | thesis_exp/outputs/exp02_ce_baseline/predictions_dev.jsonl | thesis_exp/outputs/exp02_ce_baseline/predictions_dev_best.jsonl | thesis_exp/outputs/exp02_ce_baseline/predictions_test.jsonl,SEE_RECOMPUTED_METRICS,A,VALID_POSITIVE_SINGLE_SEED,No stronger conclusion than the recorded evidence level.
Exp03,Ablate question/metric/rubric/metadata inputs,Exp02,input template,thesis_exp/artifacts/exp03_input_ablation | thesis_exp/configs/exp03_input_ablation | thesis_exp/outputs/exp03_input_ablation | thesis_exp/scripts/run_exp03_smoke.sh | thesis_exp/scripts/run_exp03_train_a0_a1.sh | thesis_exp/scripts/run_exp03_train_a3_a4.sh | thesis_exp/src/edujudge/exp03,,,,,label_5,5-class logits,CE,,argmax,dev Exact,42,,A4 Exact=.7412 MAE=.4031,thesis_exp/outputs/exp03_input_ablation/predictions/A0_answer_only_predictions_dev.jsonl | thesis_exp/outputs/exp03_input_ablation/predictions/A0_answer_only_predictions_test.jsonl | thesis_exp/outputs/exp03_input_ablation/predictions/A1_question_answer_predictions_dev.jsonl | thesis_exp/outputs/exp03_input_ablation/predictions/A1_question_answer_predictions_test.jsonl | thesis_exp/outputs/exp03_input_ablation/predictions/A2_question_answer_metric_predictions_dev.jsonl | thesis_exp/outputs/exp03_input_ablation/predictions/A2_question_answer_metric_predictions_test.jsonl | thesis_exp/outputs/exp03_input_ablation/predictions/A3_question_answer_metric_rubric_predictions_dev.jsonl | thesis_exp/outputs/exp03_input_ablation/predictions/A3_question_answer_metric_rubric_predictions_test.jsonl | thesis_exp/outputs/exp03_input_ablation/predictions/A4_question_answer_metric_rubric_metadata_predictions_dev.jsonl | thesis_exp/outputs/exp03_input_ablation/predictions/A4_question_answer_metric_rubric_metadata_predictions_test.jsonl | thesis_exp/outputs/exp03_input_ablation/runs/A0_answer_only/predictions/predictions_dev.jsonl | thesis_exp/outputs/exp03_input_ablation/runs/A0_answer_only/predictions/predictions_dev_best.jsonl | thesis_exp/outputs/exp03_input_ablation/runs/A0_answer_only/predictions/predictions_test.jsonl | thesis_exp/outputs/exp03_input_ablation/runs/A0_answer_only/predictions_dev.jsonl | thesis_exp/outputs/exp03_input_ablation/runs/A0_answer_only/predictions_dev_best.jsonl | thesis_exp/outputs/exp03_input_ablation/runs/A0_answer_only/predictions_test.jsonl | thesis_exp/outputs/exp03_input_ablation/runs/A1_question_answer/predictions/predictions_dev.jsonl | thesis_exp/outputs/exp03_input_ablation/runs/A1_question_answer/predictions/predictions_dev_best.jsonl | thesis_exp/outputs/exp03_input_ablation/runs/A1_question_answer/predictions/predictions_test.jsonl | thesis_exp/outputs/exp03_input_ablation/runs/A1_question_answer/predictions_dev.jsonl | thesis_exp/outputs/exp03_input_ablation/runs/A1_question_answer/predictions_dev_best.jsonl | thesis_exp/outputs/exp03_input_ablation/runs/A1_question_answer/predictions_test.jsonl | thesis_exp/outputs/exp03_input_ablation/runs/A2_question_answer_metric/predictions/predictions_dev.jsonl | thesis_exp/outputs/exp03_input_ablation/runs/A2_question_answer_metric/predictions/predictions_test.jsonl | thesis_exp/outputs/exp03_input_ablation/runs/A3_question_answer_metric_rubric/predictions/predictions_dev.jsonl | thesis_exp/outputs/exp03_input_ablation/runs/A3_question_answer_metric_rubric/predictions/predictions_dev_best.jsonl | thesis_exp/outputs/exp03_input_ablation/runs/A3_question_answer_metric_rubric/predictions/predictions_test.jsonl | thesis_exp/outputs/exp03_input_ablation/runs/A3_question_answer_metric_rubric/predictions_dev.jsonl | thesis_exp/outputs/exp03_input_ablation/runs/A3_question_answer_metric_rubric/predictions_dev_best.jsonl | thesis_exp/outputs/exp03_input_ablation/runs/A3_question_answer_metric_rubric/predictions_test.jsonl | thesis_exp/outputs/exp03_input_ablation/runs/A4_question_answer_metric_rubric_metadata/predictions/predictions_dev.jsonl | thesis_exp/outputs/exp03_input_ablation/runs/A4_question_answer_metric_rubric_metadata/predictions/predictions_dev_best.jsonl | thesis_exp/outputs/exp03_input_ablation/runs/A4_question_answer_metric_rubric_metadata/predictions/predictions_test.jsonl | thesis_exp/outputs/exp03_input_ablation/runs/A4_question_answer_metric_rubric_metadata/predictions_dev.jsonl | thesis_exp/outputs/exp03_input_ablation/runs/A4_question_answer_metric_rubric_metadata/predictions_dev_best.jsonl | thesis_exp/outputs/exp03_input_ablation/runs/A4_question_answer_metric_rubric_metadata/predictions_test.jsonl | thesis_exp/outputs/exp03_input_ablation/smoke_test/A3_question_answer_metric_rubric/predictions/predictions_dev.jsonl | thesis_exp/outputs/exp03_input_ablation/smoke_test/A3_question_answer_metric_rubric/predictions/predictions_dev_best.jsonl | thesis_exp/outputs/exp03_input_ablation/smoke_test/A3_question_answer_metric_rubric/predictions/predictions_test.jsonl | thesis_exp/outputs/exp03_input_ablation/smoke_test/A3_question_answer_metric_rubric/predictions_dev.jsonl | thesis_exp/outputs/exp03_input_ablation/smoke_test/A3_question_answer_metric_rubric/predictions_dev_best.jsonl | thesis_exp/outputs/exp03_input_ablation/smoke_test/A3_question_answer_metric_rubric/predictions_test.jsonl | thesis_exp/outputs/exp03_input_ablation/smoke_test/A4_question_answer_metric_rubric_metadata/predictions/predictions_dev.jsonl | thesis_exp/outputs/exp03_input_ablation/smoke_test/A4_question_answer_metric_rubric_metadata/predictions/predictions_dev_best.jsonl | thesis_exp/outputs/exp03_input_ablation/smoke_test/A4_question_answer_metric_rubric_metadata/predictions/predictions_test.jsonl | thesis_exp/outputs/exp03_input_ablation/smoke_test/A4_question_answer_metric_rubric_metadata/predictions_dev.jsonl | thesis_exp/outputs/exp03_input_ablation/smoke_test/A4_question_answer_metric_rubric_metadata/predictions_dev_best.jsonl | thesis_exp/outputs/exp03_input_ablation/smoke_test/A4_question_answer_metric_rubric_metadata/predictions_test.jsonl,SEE_RECOMPUTED_METRICS,A,VALID_INPUT_ABLATION_SINGLE_SEED,No stronger conclusion than the recorded evidence level.
Exp04,"Compare classification, regression and ordinal objectives",Exp03 A4,objective/output/decode/checkpoint,thesis_exp/artifacts/exp04_target_objectives | thesis_exp/outputs/exp04_target_objectives | thesis_exp/scripts/run_exp04_train_o2_o3_fixed_selection.sh | thesis_exp/scripts/run_exp04_train_objectives.sh | thesis_exp/src/edujudge/exp04,,,A4,,,,,,,,,,O3 Exact=.7381 MAE=.3777 Kendall=.6238,thesis_exp/outputs/exp04_target_objectives/archive_initial_bad_checkpoint_selection/formal_exp04_20260603_201440/O2_regression_smoothl1/predictions/predictions_dev.jsonl | thesis_exp/outputs/exp04_target_objectives/archive_initial_bad_checkpoint_selection/formal_exp04_20260603_201440/O2_regression_smoothl1/predictions/predictions_dev_best.jsonl | thesis_exp/outputs/exp04_target_objectives/archive_initial_bad_checkpoint_selection/formal_exp04_20260603_201440/O2_regression_smoothl1/predictions/predictions_test.jsonl | thesis_exp/outputs/exp04_target_objectives/archive_initial_bad_checkpoint_selection/formal_exp04_20260603_201440/O2_regression_smoothl1/predictions_dev.jsonl | thesis_exp/outputs/exp04_target_objectives/archive_initial_bad_checkpoint_selection/formal_exp04_20260603_201440/O2_regression_smoothl1/predictions_dev_best.jsonl | thesis_exp/outputs/exp04_target_objectives/archive_initial_bad_checkpoint_selection/formal_exp04_20260603_201440/O2_regression_smoothl1/predictions_test.jsonl | thesis_exp/outputs/exp04_target_objectives/archive_initial_bad_checkpoint_selection/formal_exp04_20260603_201440/O3_ordinal/predictions/predictions_dev.jsonl | thesis_exp/outputs/exp04_target_objectives/archive_initial_bad_checkpoint_selection/formal_exp04_20260603_201440/O3_ordinal/predictions/predictions_dev_best.jsonl | thesis_exp/outputs/exp04_target_objectives/archive_initial_bad_checkpoint_selection/formal_exp04_20260603_201440/O3_ordinal/predictions/predictions_test.jsonl | thesis_exp/outputs/exp04_target_objectives/archive_initial_bad_checkpoint_selection/formal_exp04_20260603_201440/O3_ordinal/predictions_dev.jsonl | thesis_exp/outputs/exp04_target_objectives/archive_initial_bad_checkpoint_selection/formal_exp04_20260603_201440/O3_ordinal/predictions_dev_best.jsonl | thesis_exp/outputs/exp04_target_objectives/archive_initial_bad_checkpoint_selection/formal_exp04_20260603_201440/O3_ordinal/predictions_test.jsonl | thesis_exp/outputs/exp04_target_objectives/predictions/O1_classification_predictions_dev.jsonl | thesis_exp/outputs/exp04_target_objectives/predictions/O1_classification_predictions_test.jsonl | thesis_exp/outputs/exp04_target_objectives/predictions/O2_regression_smoothl1_predictions_dev.jsonl | thesis_exp/outputs/exp04_target_objectives/predictions/O2_regression_smoothl1_predictions_test.jsonl | thesis_exp/outputs/exp04_target_objectives/predictions/O3_ordinal_predictions_dev.jsonl | thesis_exp/outputs/exp04_target_objectives/predictions/O3_ordinal_predictions_test.jsonl | thesis_exp/outputs/exp04_target_objectives/runs/O1_classification/predictions/predictions_dev.jsonl | thesis_exp/outputs/exp04_target_objectives/runs/O1_classification/predictions/predictions_test.jsonl | thesis_exp/outputs/exp04_target_objectives/runs/O2_regression_smoothl1/predictions/predictions_dev.jsonl | thesis_exp/outputs/exp04_target_objectives/runs/O2_regression_smoothl1/predictions/predictions_dev_best.jsonl | thesis_exp/outputs/exp04_target_objectives/runs/O2_regression_smoothl1/predictions/predictions_test.jsonl | thesis_exp/outputs/exp04_target_objectives/runs/O2_regression_smoothl1/predictions_dev.jsonl | thesis_exp/outputs/exp04_target_objectives/runs/O2_regression_smoothl1/predictions_dev_best.jsonl | thesis_exp/outputs/exp04_target_objectives/runs/O2_regression_smoothl1/predictions_test.jsonl | thesis_exp/outputs/exp04_target_objectives/runs/O3_ordinal/predictions/predictions_dev.jsonl | thesis_exp/outputs/exp04_target_objectives/runs/O3_ordinal/predictions/predictions_dev_best.jsonl | thesis_exp/outputs/exp04_target_objectives/runs/O3_ordinal/predictions/predictions_test.jsonl | thesis_exp/outputs/exp04_target_objectives/runs/O3_ordinal/predictions_dev.jsonl | thesis_exp/outputs/exp04_target_objectives/runs/O3_ordinal/predictions_dev_best.jsonl | thesis_exp/outputs/exp04_target_objectives/runs/O3_ordinal/predictions_test.jsonl,SEE_RECOMPUTED_METRICS,A,CONFOUNDED_SINGLE_SEED,No stronger conclusion than the recorded evidence level.
Exp05,Improve low-score behavior with weighting/asymmetric penalties,Exp04 O3,,thesis_exp/artifacts/exp05_low_score_loss | thesis_exp/configs/exp05_low_score_loss | thesis_exp/outputs/exp05_low_score_loss | thesis_exp/scripts/run_exp05_l1_smoke.sh | thesis_exp/scripts/run_exp05_l1_train.sh | thesis_exp/scripts/run_exp05_l2_smoke.sh | thesis_exp/scripts/run_exp05_l2_train.sh | thesis_exp/scripts/run_exp05_l3b_smoke.sh | thesis_exp/scripts/run_exp05_l3b_train.sh | thesis_exp/src/edujudge/exp05,,,,,,,,,,,,,,thesis_exp/outputs/exp05_low_score_loss/runs/L1_weighted_ordinal/predictions/predictions_dev.jsonl | thesis_exp/outputs/exp05_low_score_loss/runs/L1_weighted_ordinal/predictions/predictions_dev_best.jsonl | thesis_exp/outputs/exp05_low_score_loss/runs/L1_weighted_ordinal/predictions/predictions_test.jsonl | thesis_exp/outputs/exp05_low_score_loss/runs/L1_weighted_ordinal/predictions_dev.jsonl | thesis_exp/outputs/exp05_low_score_loss/runs/L1_weighted_ordinal/predictions_dev_best.jsonl | thesis_exp/outputs/exp05_low_score_loss/runs/L1_weighted_ordinal/predictions_test.jsonl | thesis_exp/outputs/exp05_low_score_loss/runs/L2a_asymmetric_ordinal_lambda03_margin0/predictions/predictions_dev.jsonl | thesis_exp/outputs/exp05_low_score_loss/runs/L2a_asymmetric_ordinal_lambda03_margin0/predictions/predictions_dev_best.jsonl | thesis_exp/outputs/exp05_low_score_loss/runs/L2a_asymmetric_ordinal_lambda03_margin0/predictions/predictions_test.jsonl | thesis_exp/outputs/exp05_low_score_loss/runs/L2a_asymmetric_ordinal_lambda03_margin0/predictions_dev.jsonl | thesis_exp/outputs/exp05_low_score_loss/runs/L2a_asymmetric_ordinal_lambda03_margin0/predictions_dev_best.jsonl | thesis_exp/outputs/exp05_low_score_loss/runs/L2a_asymmetric_ordinal_lambda03_margin0/predictions_test.jsonl | thesis_exp/outputs/exp05_low_score_loss/runs/L2b_asymmetric_ordinal_lambda05_margin0/predictions/predictions_dev.jsonl | thesis_exp/outputs/exp05_low_score_loss/runs/L2b_asymmetric_ordinal_lambda05_margin0/predictions/predictions_dev_best.jsonl | thesis_exp/outputs/exp05_low_score_loss/runs/L2b_asymmetric_ordinal_lambda05_margin0/predictions/predictions_test.jsonl | thesis_exp/outputs/exp05_low_score_loss/runs/L2b_asymmetric_ordinal_lambda05_margin0/predictions_dev.jsonl | thesis_exp/outputs/exp05_low_score_loss/runs/L2b_asymmetric_ordinal_lambda05_margin0/predictions_dev_best.jsonl | thesis_exp/outputs/exp05_low_score_loss/runs/L2b_asymmetric_ordinal_lambda05_margin0/predictions_test.jsonl | thesis_exp/outputs/exp05_low_score_loss/runs/L3b_weighted_threshold_mu03/predictions/predictions_dev.jsonl | thesis_exp/outputs/exp05_low_score_loss/runs/L3b_weighted_threshold_mu03/predictions/predictions_dev_best.jsonl | thesis_exp/outputs/exp05_low_score_loss/runs/L3b_weighted_threshold_mu03/predictions/predictions_test.jsonl | thesis_exp/outputs/exp05_low_score_loss/runs/L3b_weighted_threshold_mu03/predictions_dev.jsonl | thesis_exp/outputs/exp05_low_score_loss/runs/L3b_weighted_threshold_mu03/predictions_dev_best.jsonl | thesis_exp/outputs/exp05_low_score_loss/runs/L3b_weighted_threshold_mu03/predictions_test.jsonl | thesis_exp/outputs/exp05_low_score_loss/smoke_test/L1_weighted_ordinal/predictions/predictions_dev.jsonl | thesis_exp/outputs/exp05_low_score_loss/smoke_test/L1_weighted_ordinal/predictions/predictions_dev_best.jsonl | thesis_exp/outputs/exp05_low_score_loss/smoke_test/L1_weighted_ordinal/predictions/predictions_test.jsonl | thesis_exp/outputs/exp05_low_score_loss/smoke_test/L1_weighted_ordinal/predictions_dev.jsonl | thesis_exp/outputs/exp05_low_score_loss/smoke_test/L1_weighted_ordinal/predictions_dev_best.jsonl | thesis_exp/outputs/exp05_low_score_loss/smoke_test/L1_weighted_ordinal/predictions_test.jsonl,SEE_RECOMPUTED_METRICS,A,VALID_NEGATIVE_FOR_TESTED_STRENGTHS,No stronger conclusion than the recorded evidence level.
Exp06,,,,thesis_exp/artifacts/exp06_question_disjoint_baselines | thesis_exp/artifacts/exp06_synthetic_low_score | thesis_exp/configs/exp06_generation | thesis_exp/outputs/exp06_question_disjoint_baselines | thesis_exp/outputs/exp06_synthetic_low_score | thesis_exp/scripts/run_exp06_qds1_smoke.sh | thesis_exp/scripts/run_exp06_qds1_train.sh | thesis_exp/scripts/run_exp06_qds2_smoke.sh | thesis_exp/scripts/run_exp06_qds2_train.sh | thesis_exp/scripts/run_exp06_qds3_smoke.sh | thesis_exp/scripts/run_exp06_qds3_train.sh | thesis_exp/scripts/sync_exp06_qds1_to_server.sh | thesis_exp/scripts/sync_exp06_qds2_to_server.sh | thesis_exp/scripts/sync_exp06_qds3_to_server.sh | thesis_exp/src/edujudge/exp06 | thesis_exp/src/edujudge/exp06_baselines | thesis_exp/src/edujudge/exp06_generation | thesis_exp/src/edujudge/exp06_training,,,,,,,,,,,,,,thesis_exp/outputs/exp06_question_disjoint_baselines/runs/QD-B0_human_only_ordinary_ordinal/predictions/predictions_dev.jsonl | thesis_exp/outputs/exp06_question_disjoint_baselines/runs/QD-B0_human_only_ordinary_ordinal/predictions/predictions_test.jsonl | thesis_exp/outputs/exp06_question_disjoint_baselines/runs/QD-B1_human_only_L1_weighted_ordinal/predictions/predictions_dev.jsonl | thesis_exp/outputs/exp06_question_disjoint_baselines/runs/QD-B1_human_only_L1_weighted_ordinal/predictions/predictions_test.jsonl,SEE_RECOMPUTED_METRICS,C,INCOMPLETE_EVIDENCE,No stronger conclusion than the recorded evidence level.
Exp07,,,,thesis_exp/artifacts/exp07_rank_consistent_ordinal | thesis_exp/configs/exp07_rank_consistent | thesis_exp/outputs/exp07_calibration | thesis_exp/outputs/exp07_rank_consistent_ordinal | thesis_exp/scripts/run_exp07_qdr1_smoke.sh | thesis_exp/scripts/run_exp07_qdr1_train.sh | thesis_exp/scripts/sync_exp07_qdr1_to_server.sh | thesis_exp/src/edujudge/exp07_rank_consistent,,,,,,,,,,,,,,thesis_exp/outputs/exp07_rank_consistent_ordinal/runs/QD-R1_CORAL_human_only/predictions/predictions_dev.jsonl | thesis_exp/outputs/exp07_rank_consistent_ordinal/runs/QD-R1_CORAL_human_only/predictions/predictions_dev_best.jsonl | thesis_exp/outputs/exp07_rank_consistent_ordinal/runs/QD-R1_CORAL_human_only/predictions/predictions_test.jsonl | thesis_exp/outputs/exp07_rank_consistent_ordinal/runs/QD-R1_CORAL_human_only/predictions_dev.jsonl | thesis_exp/outputs/exp07_rank_consistent_ordinal/runs/QD-R1_CORAL_human_only/predictions_dev_best.jsonl | thesis_exp/outputs/exp07_rank_consistent_ordinal/runs/QD-R1_CORAL_human_only/predictions_test.jsonl | thesis_exp/outputs/exp07_rank_consistent_ordinal/smoke_test/QD-R1_CORAL_human_only/predictions/predictions_dev.jsonl | thesis_exp/outputs/exp07_rank_consistent_ordinal/smoke_test/QD-R1_CORAL_human_only/predictions/predictions_dev_best.jsonl | thesis_exp/outputs/exp07_rank_consistent_ordinal/smoke_test/QD-R1_CORAL_human_only/predictions/predictions_test.jsonl | thesis_exp/outputs/exp07_rank_consistent_ordinal/smoke_test/QD-R1_CORAL_human_only/predictions_dev.jsonl | thesis_exp/outputs/exp07_rank_consistent_ordinal/smoke_test/QD-R1_CORAL_human_only/predictions_dev_best.jsonl | thesis_exp/outputs/exp07_rank_consistent_ordinal/smoke_test/QD-R1_CORAL_human_only/predictions_test.jsonl,SEE_RECOMPUTED_METRICS,C,INCOMPLETE_EVIDENCE,No stronger conclusion than the recorded evidence level.
Exp08,,,,thesis_exp/artifacts/exp08_edurisk_loss | thesis_exp/configs/exp08_edurisk | thesis_exp/outputs/exp08_edurisk_loss | thesis_exp/scripts/run_exp08_qder1_smoke.sh | thesis_exp/scripts/run_exp08_qder1_train.sh | thesis_exp/scripts/sync_exp08_qder1_to_server.sh | thesis_exp/src/edujudge/exp08_edurisk,,,,,,,,,,,,,,thesis_exp/outputs/exp08_edurisk_loss/runs/QD-ER1_EduRisk_human_only/predictions/predictions_dev.jsonl | thesis_exp/outputs/exp08_edurisk_loss/runs/QD-ER1_EduRisk_human_only/predictions/predictions_dev_best.jsonl | thesis_exp/outputs/exp08_edurisk_loss/runs/QD-ER1_EduRisk_human_only/predictions/predictions_test.jsonl | thesis_exp/outputs/exp08_edurisk_loss/runs/QD-ER1_EduRisk_human_only/predictions_dev.jsonl | thesis_exp/outputs/exp08_edurisk_loss/runs/QD-ER1_EduRisk_human_only/predictions_dev_best.jsonl | thesis_exp/outputs/exp08_edurisk_loss/runs/QD-ER1_EduRisk_human_only/predictions_test.jsonl,SEE_RECOMPUTED_METRICS,C,INCOMPLETE_EVIDENCE,No stronger conclusion than the recorded evidence level.
Exp09,,,,thesis_exp/artifacts/exp09_pairwise_ordinal | thesis_exp/artifacts/exp09_pairwise_ordinal_qdpr2 | thesis_exp/configs/exp09_pairwise_ordinal | thesis_exp/outputs/exp09_pairwise_ordinal | thesis_exp/outputs/exp09_pairwise_ordinal_qdpr2 | thesis_exp/scripts/run_exp09_qdpr1_smoke.sh | thesis_exp/scripts/run_exp09_qdpr1_train.sh | thesis_exp/scripts/run_exp09_qdpr2_smoke.sh | thesis_exp/scripts/run_exp09_qdpr2_train.sh | thesis_exp/scripts/sync_exp09_qdpr1_to_server.sh | thesis_exp/scripts/sync_exp09_qdpr2_to_server.sh | thesis_exp/src/edujudge/exp09_pairwise_ordinal,,,,,,,,,,,,,,thesis_exp/outputs/exp09_pairwise_ordinal/runs/QD-PR1_PairwiseRiskOrdinal_human_only/predictions/predictions_dev.jsonl | thesis_exp/outputs/exp09_pairwise_ordinal/runs/QD-PR1_PairwiseRiskOrdinal_human_only/predictions/predictions_dev_best.jsonl | thesis_exp/outputs/exp09_pairwise_ordinal/runs/QD-PR1_PairwiseRiskOrdinal_human_only/predictions/predictions_test.jsonl | thesis_exp/outputs/exp09_pairwise_ordinal/runs/QD-PR1_PairwiseRiskOrdinal_human_only/predictions_dev.jsonl | thesis_exp/outputs/exp09_pairwise_ordinal/runs/QD-PR1_PairwiseRiskOrdinal_human_only/predictions_dev_best.jsonl | thesis_exp/outputs/exp09_pairwise_ordinal/runs/QD-PR1_PairwiseRiskOrdinal_human_only/predictions_test.jsonl | thesis_exp/outputs/exp09_pairwise_ordinal_qdpr2/runs/QD-PR2_AnchoredPairwiseOrdinal_human_only/predictions/predictions_dev.jsonl | thesis_exp/outputs/exp09_pairwise_ordinal_qdpr2/runs/QD-PR2_AnchoredPairwiseOrdinal_human_only/predictions/predictions_dev_best.jsonl | thesis_exp/outputs/exp09_pairwise_ordinal_qdpr2/runs/QD-PR2_AnchoredPairwiseOrdinal_human_only/predictions/predictions_test.jsonl | thesis_exp/outputs/exp09_pairwise_ordinal_qdpr2/runs/QD-PR2_AnchoredPairwiseOrdinal_human_only/predictions_dev.jsonl | thesis_exp/outputs/exp09_pairwise_ordinal_qdpr2/runs/QD-PR2_AnchoredPairwiseOrdinal_human_only/predictions_dev_best.jsonl | thesis_exp/outputs/exp09_pairwise_ordinal_qdpr2/runs/QD-PR2_AnchoredPairwiseOrdinal_human_only/predictions_test.jsonl | thesis_exp/outputs/exp09_pairwise_ordinal_qdpr2/smoke_test/QD-PR2_AnchoredPairwiseOrdinal_human_only/predictions/predictions_dev.jsonl | thesis_exp/outputs/exp09_pairwise_ordinal_qdpr2/smoke_test/QD-PR2_AnchoredPairwiseOrdinal_human_only/predictions/predictions_dev_best.jsonl | thesis_exp/outputs/exp09_pairwise_ordinal_qdpr2/smoke_test/QD-PR2_AnchoredPairwiseOrdinal_human_only/predictions/predictions_test.jsonl | thesis_exp/outputs/exp09_pairwise_ordinal_qdpr2/smoke_test/QD-PR2_AnchoredPairwiseOrdinal_human_only/predictions_dev.jsonl | thesis_exp/outputs/exp09_pairwise_ordinal_qdpr2/smoke_test/QD-PR2_AnchoredPairwiseOrdinal_human_only/predictions_dev_best.jsonl | thesis_exp/outputs/exp09_pairwise_ordinal_qdpr2/smoke_test/QD-PR2_AnchoredPairwiseOrdinal_human_only/predictions_test.jsonl,SEE_RECOMPUTED_METRICS,C,INCOMPLETE_EVIDENCE,No stronger conclusion than the recorded evidence level.
