has_human_mean,has_repo_3way_bin,implementation_path,primary_target_classification
False,False,thesis_exp/exp36_safer_score/model_utils.py,rounded_label
False,False,thesis_exp/exp36_safer_score/bootstrap_exp36a_dev.py,unknown_or_rounded
False,False,thesis_exp/exp36_safer_score/train_exp36a_safer_score.py,unknown_or_rounded
False,False,thesis_exp/exp36_safer_score/collect_exp36a_seed42.py,rounded_label
False,False,thesis_exp/exp38_hails_score/collect_exp38a_groupcv.py,unknown_or_rounded
False,True,thesis_exp/exp38_hails_score/common.py,unknown_or_rounded
False,False,thesis_exp/exp38_hails_score/bootstrap_exp38a_groupcv.py,unknown_or_rounded
False,False,thesis_exp/exp46_hato_kd/analyze_exp46_teacher_gate.py,unknown_or_rounded
False,False,thesis_exp/exp46_hato_kd/analyze_exp46_student_gate.py,unknown_or_rounded
False,False,thesis_exp/exp46_hato_kd/bootstrap_exp46.py,unknown_or_rounded
False,False,thesis_exp/exp46_hato_kd/analyze_exp46_teacher_failure.py,unknown_or_rounded
True,False,thesis_exp/tests/test_exp49_metric_contract.py,unknown_or_rounded
False,False,thesis_exp/exp41_rubric_bridge/collect_exp41a_groupcv.py,unknown_or_rounded
True,True,thesis_exp/exp41_rubric_bridge/common.py,unknown_or_rounded
False,False,thesis_exp/exp41_rubric_bridge/bootstrap_exp41a_groupcv.py,unknown_or_rounded
True,False,thesis_exp/exp17_low_score_evidence/bootstrap_exp28f_dev_differences.py,human_mean
False,False,thesis_exp/exp17_low_score_evidence/collect_exp28c_teacher_protocol_results.py,unknown_or_rounded
False,False,thesis_exp/exp17_low_score_evidence/collect_exp19_sft_first_round_dev_results.py,unknown_or_rounded
False,False,thesis_exp/exp17_low_score_evidence/run_exp19_r0a_qwen4b_direct_baseline.py,unknown_or_rounded
False,True,thesis_exp/exp17_low_score_evidence/run_exp19_r0b_failure_first_prompt_audit.py,unknown_or_rounded
False,False,thesis_exp/exp17_low_score_evidence/bootstrap_exp28h_final_test.py,unknown_or_rounded
False,False,thesis_exp/exp17_low_score_evidence/run_exp19_r0c_calibrated_prompt_audit.py,unknown_or_rounded
True,False,thesis_exp/exp17_low_score_evidence/prepare_exp27g_teacher_audit_361_packets.py,unknown_or_rounded
False,False,thesis_exp/exp17_low_score_evidence/prepare_exp27r_final_test_lock.py,unknown_or_rounded
True,False,thesis_exp/exp17_low_score_evidence/prepare_exp27k_representative_teacher_validation.py,unknown_or_rounded
False,False,thesis_exp/exp43_rubimor/collect_exp43_headline_dev.py,unknown_or_rounded
False,False,thesis_exp/exp43_rubimor/analyze_exp43_stage_gates.py,unknown_or_rounded
False,False,thesis_exp/exp43_rubimor/collect_exp43_groupcv.py,unknown_or_rounded
False,False,thesis_exp/exp43_rubimor/build_exp43_final_report.py,unknown_or_rounded
False,True,thesis_exp/exp43_rubimor/common.py,unknown_or_rounded
False,False,thesis_exp/exp43_rubimor/evaluate_exp43_final_test.py,unknown_or_rounded
True,False,thesis_exp/exp49_cphce/build_targets.py,unknown_or_rounded
True,False,thesis_exp/exp49_cphce/formal_gate.py,human_mean
