experiment_id,hypothesis,baseline,changed_variable,actual_changes,split,backbone,input_fields,input_template,target,output,loss,sampler,inference,checkpoint_rule,seed,metric_implementation,reported_result,prediction_path,recomputed_result,evidence_level,validity,conclusion
Exp06,,,,thesis_exp/artifacts/exp06_question_disjoint_baselines | thesis_exp/artifacts/exp06_synthetic_low_score | thesis_exp/configs/exp06_generation | thesis_exp/outputs/exp06_question_disjoint_baselines | thesis_exp/outputs/exp06_synthetic_low_score | thesis_exp/scripts/run_exp06_qds1_smoke.sh | thesis_exp/scripts/run_exp06_qds1_train.sh | thesis_exp/scripts/run_exp06_qds2_smoke.sh | thesis_exp/scripts/run_exp06_qds2_train.sh | thesis_exp/scripts/run_exp06_qds3_smoke.sh | thesis_exp/scripts/run_exp06_qds3_train.sh | thesis_exp/scripts/sync_exp06_qds1_to_server.sh | thesis_exp/scripts/sync_exp06_qds2_to_server.sh | thesis_exp/scripts/sync_exp06_qds3_to_server.sh | thesis_exp/src/edujudge/exp06 | thesis_exp/src/edujudge/exp06_baselines | thesis_exp/src/edujudge/exp06_generation | thesis_exp/src/edujudge/exp06_training,,,,,,,,,,,,,,thesis_exp/outputs/exp06_question_disjoint_baselines/runs/QD-B0_human_only_ordinary_ordinal/predictions/predictions_dev.jsonl | thesis_exp/outputs/exp06_question_disjoint_baselines/runs/QD-B0_human_only_ordinary_ordinal/predictions/predictions_test.jsonl | thesis_exp/outputs/exp06_question_disjoint_baselines/runs/QD-B1_human_only_L1_weighted_ordinal/predictions/predictions_dev.jsonl | thesis_exp/outputs/exp06_question_disjoint_baselines/runs/QD-B1_human_only_L1_weighted_ordinal/predictions/predictions_test.jsonl,SEE_RECOMPUTED_METRICS,C,INCOMPLETE_EVIDENCE,No stronger conclusion than the recorded evidence level.
Exp07,,,,thesis_exp/artifacts/exp07_rank_consistent_ordinal | thesis_exp/configs/exp07_rank_consistent | thesis_exp/outputs/exp07_calibration | thesis_exp/outputs/exp07_rank_consistent_ordinal | thesis_exp/scripts/run_exp07_qdr1_smoke.sh | thesis_exp/scripts/run_exp07_qdr1_train.sh | thesis_exp/scripts/sync_exp07_qdr1_to_server.sh | thesis_exp/src/edujudge/exp07_rank_consistent,,,,,,,,,,,,,,thesis_exp/outputs/exp07_rank_consistent_ordinal/runs/QD-R1_CORAL_human_only/predictions/predictions_dev.jsonl | thesis_exp/outputs/exp07_rank_consistent_ordinal/runs/QD-R1_CORAL_human_only/predictions/predictions_dev_best.jsonl | thesis_exp/outputs/exp07_rank_consistent_ordinal/runs/QD-R1_CORAL_human_only/predictions/predictions_test.jsonl | thesis_exp/outputs/exp07_rank_consistent_ordinal/runs/QD-R1_CORAL_human_only/predictions_dev.jsonl | thesis_exp/outputs/exp07_rank_consistent_ordinal/runs/QD-R1_CORAL_human_only/predictions_dev_best.jsonl | thesis_exp/outputs/exp07_rank_consistent_ordinal/runs/QD-R1_CORAL_human_only/predictions_test.jsonl | thesis_exp/outputs/exp07_rank_consistent_ordinal/smoke_test/QD-R1_CORAL_human_only/predictions/predictions_dev.jsonl | thesis_exp/outputs/exp07_rank_consistent_ordinal/smoke_test/QD-R1_CORAL_human_only/predictions/predictions_dev_best.jsonl | thesis_exp/outputs/exp07_rank_consistent_ordinal/smoke_test/QD-R1_CORAL_human_only/predictions/predictions_test.jsonl | thesis_exp/outputs/exp07_rank_consistent_ordinal/smoke_test/QD-R1_CORAL_human_only/predictions_dev.jsonl | thesis_exp/outputs/exp07_rank_consistent_ordinal/smoke_test/QD-R1_CORAL_human_only/predictions_dev_best.jsonl | thesis_exp/outputs/exp07_rank_consistent_ordinal/smoke_test/QD-R1_CORAL_human_only/predictions_test.jsonl,SEE_RECOMPUTED_METRICS,C,INCOMPLETE_EVIDENCE,No stronger conclusion than the recorded evidence level.
Exp08,,,,thesis_exp/artifacts/exp08_edurisk_loss | thesis_exp/configs/exp08_edurisk | thesis_exp/outputs/exp08_edurisk_loss | thesis_exp/scripts/run_exp08_qder1_smoke.sh | thesis_exp/scripts/run_exp08_qder1_train.sh | thesis_exp/scripts/sync_exp08_qder1_to_server.sh | thesis_exp/src/edujudge/exp08_edurisk,,,,,,,,,,,,,,thesis_exp/outputs/exp08_edurisk_loss/runs/QD-ER1_EduRisk_human_only/predictions/predictions_dev.jsonl | thesis_exp/outputs/exp08_edurisk_loss/runs/QD-ER1_EduRisk_human_only/predictions/predictions_dev_best.jsonl | thesis_exp/outputs/exp08_edurisk_loss/runs/QD-ER1_EduRisk_human_only/predictions/predictions_test.jsonl | thesis_exp/outputs/exp08_edurisk_loss/runs/QD-ER1_EduRisk_human_only/predictions_dev.jsonl | thesis_exp/outputs/exp08_edurisk_loss/runs/QD-ER1_EduRisk_human_only/predictions_dev_best.jsonl | thesis_exp/outputs/exp08_edurisk_loss/runs/QD-ER1_EduRisk_human_only/predictions_test.jsonl,SEE_RECOMPUTED_METRICS,C,INCOMPLETE_EVIDENCE,No stronger conclusion than the recorded evidence level.
Exp09,,,,thesis_exp/artifacts/exp09_pairwise_ordinal | thesis_exp/artifacts/exp09_pairwise_ordinal_qdpr2 | thesis_exp/configs/exp09_pairwise_ordinal | thesis_exp/outputs/exp09_pairwise_ordinal | thesis_exp/outputs/exp09_pairwise_ordinal_qdpr2 | thesis_exp/scripts/run_exp09_qdpr1_smoke.sh | thesis_exp/scripts/run_exp09_qdpr1_train.sh | thesis_exp/scripts/run_exp09_qdpr2_smoke.sh | thesis_exp/scripts/run_exp09_qdpr2_train.sh | thesis_exp/scripts/sync_exp09_qdpr1_to_server.sh | thesis_exp/scripts/sync_exp09_qdpr2_to_server.sh | thesis_exp/src/edujudge/exp09_pairwise_ordinal,,,,,,,,,,,,,,thesis_exp/outputs/exp09_pairwise_ordinal/runs/QD-PR1_PairwiseRiskOrdinal_human_only/predictions/predictions_dev.jsonl | thesis_exp/outputs/exp09_pairwise_ordinal/runs/QD-PR1_PairwiseRiskOrdinal_human_only/predictions/predictions_dev_best.jsonl | thesis_exp/outputs/exp09_pairwise_ordinal/runs/QD-PR1_PairwiseRiskOrdinal_human_only/predictions/predictions_test.jsonl | thesis_exp/outputs/exp09_pairwise_ordinal/runs/QD-PR1_PairwiseRiskOrdinal_human_only/predictions_dev.jsonl | thesis_exp/outputs/exp09_pairwise_ordinal/runs/QD-PR1_PairwiseRiskOrdinal_human_only/predictions_dev_best.jsonl | thesis_exp/outputs/exp09_pairwise_ordinal/runs/QD-PR1_PairwiseRiskOrdinal_human_only/predictions_test.jsonl | thesis_exp/outputs/exp09_pairwise_ordinal_qdpr2/runs/QD-PR2_AnchoredPairwiseOrdinal_human_only/predictions/predictions_dev.jsonl | thesis_exp/outputs/exp09_pairwise_ordinal_qdpr2/runs/QD-PR2_AnchoredPairwiseOrdinal_human_only/predictions/predictions_dev_best.jsonl | thesis_exp/outputs/exp09_pairwise_ordinal_qdpr2/runs/QD-PR2_AnchoredPairwiseOrdinal_human_only/predictions/predictions_test.jsonl | thesis_exp/outputs/exp09_pairwise_ordinal_qdpr2/runs/QD-PR2_AnchoredPairwiseOrdinal_human_only/predictions_dev.jsonl | thesis_exp/outputs/exp09_pairwise_ordinal_qdpr2/runs/QD-PR2_AnchoredPairwiseOrdinal_human_only/predictions_dev_best.jsonl | thesis_exp/outputs/exp09_pairwise_ordinal_qdpr2/runs/QD-PR2_AnchoredPairwiseOrdinal_human_only/predictions_test.jsonl | thesis_exp/outputs/exp09_pairwise_ordinal_qdpr2/smoke_test/QD-PR2_AnchoredPairwiseOrdinal_human_only/predictions/predictions_dev.jsonl | thesis_exp/outputs/exp09_pairwise_ordinal_qdpr2/smoke_test/QD-PR2_AnchoredPairwiseOrdinal_human_only/predictions/predictions_dev_best.jsonl | thesis_exp/outputs/exp09_pairwise_ordinal_qdpr2/smoke_test/QD-PR2_AnchoredPairwiseOrdinal_human_only/predictions/predictions_test.jsonl | thesis_exp/outputs/exp09_pairwise_ordinal_qdpr2/smoke_test/QD-PR2_AnchoredPairwiseOrdinal_human_only/predictions_dev.jsonl | thesis_exp/outputs/exp09_pairwise_ordinal_qdpr2/smoke_test/QD-PR2_AnchoredPairwiseOrdinal_human_only/predictions_dev_best.jsonl | thesis_exp/outputs/exp09_pairwise_ordinal_qdpr2/smoke_test/QD-PR2_AnchoredPairwiseOrdinal_human_only/predictions_test.jsonl,SEE_RECOMPUTED_METRICS,C,INCOMPLETE_EVIDENCE,No stronger conclusion than the recorded evidence level.
Exp10,,,,thesis_exp/artifacts/exp10_qdpr2_module_ablation | thesis_exp/configs/exp10_qdpr2_module_ablation | thesis_exp/outputs/exp10_qdpr2_module_ablation | thesis_exp/scripts/run_exp10_qdpr2_module_ablation.sh | thesis_exp/scripts/run_exp10_qdpr2_module_ablation_smoke.sh | thesis_exp/scripts/sync_exp10_qdpr2_module_ablation_to_server.sh | thesis_exp/src/edujudge/exp10_qdpr2_module_ablation,,,,,,,,,,,,,,thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/full_qdpr2/predictions/predictions_dev.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/full_qdpr2/predictions/predictions_dev_best.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/full_qdpr2/predictions/predictions_test.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/full_qdpr2/predictions_dev.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/full_qdpr2/predictions_dev_best.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/full_qdpr2/predictions_test.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_anchor/predictions/predictions_dev.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_anchor/predictions/predictions_dev_best.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_anchor/predictions/predictions_test.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_anchor/predictions_dev.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_anchor/predictions_dev_best.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_anchor/predictions_test.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_mono/predictions/predictions_dev.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_mono/predictions/predictions_dev_best.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_mono/predictions/predictions_test.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_mono/predictions_dev.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_mono/predictions_dev_best.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_mono/predictions_test.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_pair/predictions/predictions_dev.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_pair/predictions/predictions_dev_best.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_pair/predictions/predictions_test.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_pair/predictions_dev.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_pair/predictions_dev_best.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_pair/predictions_test.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_pair_same_pair_batches/predictions/predictions_dev.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_pair_same_pair_batches/predictions/predictions_dev_best.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_pair_same_pair_batches/predictions/predictions_test.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_pair_same_pair_batches/predictions_dev.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_pair_same_pair_batches/predictions_dev_best.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_pair_same_pair_batches/predictions_test.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_point_diagnostic/predictions/predictions_dev.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_point_diagnostic/predictions/predictions_dev_best.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_point_diagnostic/predictions/predictions_test.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_point_diagnostic/predictions_dev.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_point_diagnostic/predictions_dev_best.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/no_point_diagnostic/predictions_test.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/point_only/predictions/predictions_dev.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/point_only/predictions/predictions_dev_best.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/point_only/predictions/predictions_test.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/point_only/predictions_dev.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/point_only/predictions_dev_best.jsonl | thesis_exp/outputs/exp10_qdpr2_module_ablation/runs/point_only/predictions_test.jsonl,SEE_RECOMPUTED_METRICS,C,INCOMPLETE_EVIDENCE,No stronger conclusion than the recorded evidence level.
Exp11,,,,thesis_exp/configs/exp11_checkpoint_selection_sensitivity | thesis_exp/outputs/exp11_checkpoint_selection_sensitivity | thesis_exp/scripts/run_exp11_checkpoint_selection_sensitivity.sh | thesis_exp/scripts/run_exp11_checkpoint_selection_sensitivity_smoke.sh | thesis_exp/src/edujudge/exp11_checkpoint_selection_sensitivity,,,,,,,,,,,,,,NOT_FOUND,NOT_RECOMPUTABLE,C,INCOMPLETE_EVIDENCE,No stronger conclusion than the recorded evidence level.
Exp12,,,,thesis_exp/configs/exp12_monotonic_projection_map_oc | thesis_exp/outputs/exp12_monotonic_projection_map_oc | thesis_exp/scripts/run_exp12_monotonic_projection_map_oc.sh | thesis_exp/scripts/run_exp12_monotonic_projection_map_oc_smoke.sh | thesis_exp/scripts/sync_exp12_monotonic_projection_map_oc_to_server.sh | thesis_exp/src/edujudge/exp12_monotonic_projection_map_oc,,,,,,,,,,,,,,NOT_FOUND,NOT_RECOMPUTABLE,C,INCOMPLETE_EVIDENCE,No stronger conclusion than the recorded evidence level.
Exp13,,,,thesis_exp/configs/exp13_risk_boundary_map_oc | thesis_exp/outputs/exp13_risk_boundary_map_oc | thesis_exp/scripts/run_exp13_risk_boundary_map_oc.sh | thesis_exp/scripts/run_exp13_risk_boundary_map_oc_formal_locked.sh | thesis_exp/scripts/run_exp13_risk_boundary_map_oc_smoke.sh | thesis_exp/scripts/sync_exp13_risk_boundary_map_oc_to_server.sh | thesis_exp/src/edujudge/exp13_risk_boundary_map_oc,,,,,,,,,,,,,,NOT_FOUND,NOT_RECOMPUTABLE,C,INCOMPLETE_EVIDENCE,No stronger conclusion than the recorded evidence level.
Exp14,,,,thesis_exp/configs/exp14_logit_margin_tail_risk_oc | thesis_exp/outputs/exp14_logit_margin_tail_risk_oc | thesis_exp/scripts/run_exp14_logit_margin_tail_risk_oc.sh | thesis_exp/scripts/run_exp14_logit_margin_tail_risk_oc_smoke.sh | thesis_exp/scripts/sync_exp14_logit_margin_tail_risk_oc_to_server.sh | thesis_exp/src/edujudge/exp14_logit_margin_tail_risk_oc,,,,,,,,,,,,,,NOT_FOUND,NOT_RECOMPUTABLE,C,INCOMPLETE_EVIDENCE,No stronger conclusion than the recorded evidence level.
Exp15,,,,thesis_exp/configs/exp15_posthoc_ordinal_calibration | thesis_exp/outputs/exp15_posthoc_ordinal_calibration | thesis_exp/scripts/run_exp15_posthoc_ordinal_calibration.sh | thesis_exp/scripts/sync_exp15_posthoc_ordinal_calibration_to_server.sh | thesis_exp/src/edujudge/exp15_posthoc_ordinal_calibration,,,,,,,,,,,,,,NOT_FOUND,NOT_RECOMPUTABLE,C,INCOMPLETE_EVIDENCE,No stronger conclusion than the recorded evidence level.
