stratum_type,label_5,metric_id,language,n_rows,all_rater_active_rows,all_rater_active_rate,all_rater_references,label_consistent_active_rows,label_consistent_active_rate,label_consistent_references
overall,,,,2654,1612,0.6073850791258478,4836,1612,0.6073850791258478,3934
label,1,,,24,21,0.875,63,21,0.875,59
label,2,,,52,40,0.7692307692307693,120,40,0.7692307692307693,105
label,3,,,251,155,0.6175298804780877,465,155,0.6175298804780877,363
label,4,,,946,589,0.6226215644820295,1767,589,0.6226215644820295,1357
label,5,,,1381,807,0.5843591600289645,2421,807,0.5843591600289645,2050
metric,,BFA,,322,195,0.6055900621118012,585,195,0.6055900621118012,502
metric,,CRSC,,312,183,0.5865384615384616,549,183,0.5865384615384616,442
metric,,CSI,,187,114,0.6096256684491979,342,114,0.6096256684491979,272
metric,,DKA,,137,92,0.6715328467153284,276,92,0.6715328467153284,223
metric,,EICP,,134,75,0.5597014925373134,225,75,0.5597014925373134,192
metric,,HOTSD,,178,111,0.6235955056179775,333,111,0.6235955056179775,264
metric,,IFTC,,490,290,0.5918367346938775,870,290,0.5918367346938775,695
metric,,MGPF,,186,115,0.6182795698924731,345,115,0.6182795698924731,279
metric,,PALS,,163,103,0.6319018404907976,309,103,0.6319018404907976,252
metric,,RPR,,195,120,0.6153846153846154,360,120,0.6153846153846154,298
metric,,RTC,,99,65,0.6565656565656566,195,65,0.6565656565656566,156
metric,,SEI,,251,149,0.5936254980079682,447,149,0.5936254980079682,359
language,,,en,1341,793,0.5913497390007457,2379,793,0.5913497390007457,1924
language,,,zh,1313,819,0.6237623762376238,2457,819,0.6237623762376238,2010
label_metric_language,1,BFA,zh,1,1,1.0,3,1,1.0,3
label_metric_language,1,CRSC,zh,1,1,1.0,3,1,1.0,2
label_metric_language,1,EICP,zh,6,6,1.0,18,6,1.0,17
label_metric_language,1,MGPF,en,2,2,1.0,6,2,1.0,6
label_metric_language,1,MGPF,zh,1,1,1.0,3,1,1.0,2
label_metric_language,1,RPR,en,8,6,0.75,18,6,0.75,18
label_metric_language,1,RPR,zh,5,4,0.8,12,4,0.8,11
label_metric_language,2,BFA,en,2,2,1.0,6,2,1.0,6
label_metric_language,2,BFA,zh,3,2,0.6666666666666666,6,2,0.6666666666666666,5
label_metric_language,2,CRSC,en,2,1,0.5,3,1,0.5,3
label_metric_language,2,CRSC,zh,1,1,1.0,3,1,1.0,3
label_metric_language,2,CSI,en,3,3,1.0,9,3,1.0,9
label_metric_language,2,EICP,en,4,3,0.75,9,3,0.75,9
label_metric_language,2,EICP,zh,1,1,1.0,3,1,1.0,3
label_metric_language,2,HOTSD,en,6,6,1.0,18,6,1.0,17
label_metric_language,2,HOTSD,zh,1,1,1.0,3,1,1.0,3
label_metric_language,2,IFTC,en,7,5,0.7142857142857143,15,5,0.7142857142857143,13
label_metric_language,2,IFTC,zh,3,3,1.0,9,3,1.0,7
label_metric_language,2,MGPF,en,6,2,0.3333333333333333,6,2,0.3333333333333333,4
label_metric_language,2,MGPF,zh,4,2,0.5,6,2,0.5,5
label_metric_language,2,PALS,zh,1,1,1.0,3,1,1.0,2
label_metric_language,2,RPR,en,1,1,1.0,3,1,1.0,2
label_metric_language,2,RPR,zh,2,2,1.0,6,2,1.0,4
label_metric_language,2,SEI,en,5,4,0.8,12,4,0.8,10
label_metric_language,3,BFA,en,3,3,1.0,9,3,1.0,7
label_metric_language,3,BFA,zh,5,3,0.6,9,3,0.6,6
label_metric_language,3,CRSC,en,3,3,1.0,9,3,1.0,7
