evaluator,comparison_role,comparison,stage,dimension,forced_completion_stratum,pairs,wins,ties,losses,win_rate_ties_retained,win_rate_ci_low,win_rate_ci_high,tie_adjusted_preference,tie_adjusted_ci_low,tie_adjusted_ci_high,net_preference,net_preference_ci_low,net_preference_ci_high
codex_sol,primary,R3_vs_R2,score_visible,score_rationale_consistency,all,120,97,8,15,0.8083333333333333,0.725,0.8833333333333333,0.8416666666666667,0.7666666666666667,0.9125,0.6833333333333333,0.5333333333333333,0.825
codex_sol,primary,R3_vs_R2,score_visible,score_rationale_consistency,neither_candidate_forced,80,64,7,9,0.8,0.6911651000606428,0.8987341772151899,0.84375,0.75,0.926829268292683,0.6875,0.5,0.8536585365853658
codex_sol,primary,R3_vs_R2,score_visible,score_rationale_consistency,R3_only_forced,17,15,0,2,0.8823529411764706,0.75,1.0,0.8823529411764706,0.75,1.0,0.7647058823529411,0.5,1.0
codex_sol,primary,R3_vs_R2,score_visible,score_rationale_consistency,comparator_only_forced,21,16,1,4,0.7619047619047619,0.5625,0.9333333333333333,0.7857142857142857,0.6,0.9411764705882353,0.5714285714285714,0.2,0.8823529411764706
codex_sol,primary,R3_vs_R2,score_visible,score_rationale_consistency,both_candidates_forced,2,2,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
codex_sol,primary,R3_vs_R2,score_visible,overall_scoring_justification_usefulness,all,120,97,9,14,0.8083333333333333,0.725,0.8833333333333333,0.8458333333333333,0.7708333333333334,0.9125,0.6916666666666667,0.5416666666666666,0.825
codex_sol,primary,R3_vs_R2,score_visible,overall_scoring_justification_usefulness,neither_candidate_forced,80,64,7,9,0.8,0.6911651000606428,0.8987341772151899,0.84375,0.75,0.926829268292683,0.6875,0.5,0.8536585365853658
codex_sol,primary,R3_vs_R2,score_visible,overall_scoring_justification_usefulness,R3_only_forced,17,15,1,1,0.8823529411764706,0.75,1.0,0.9117647058823529,0.8,1.0,0.8235294117647058,0.6,1.0
codex_sol,primary,R3_vs_R2,score_visible,overall_scoring_justification_usefulness,comparator_only_forced,21,16,1,4,0.7619047619047619,0.5625,0.9333333333333333,0.7857142857142857,0.6,0.9411764705882353,0.5714285714285714,0.2,0.8823529411764706
codex_sol,primary,R3_vs_R2,score_visible,overall_scoring_justification_usefulness,both_candidates_forced,2,2,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
