variant,seed,epoch,treatment_MAE_human_mean,consensus_MAE_human_mean,delta_MAE_human_mean,treatment_Exact_rounded,consensus_Exact_rounded,delta_Exact_rounded,treatment_Kendall_human_mean,consensus_Kendall_human_mean,delta_Kendall_human_mean
orthogonal_only,42,1,0.5145582329317269,0.5321285140562247,-0.017570281124497877,0.6219879518072289,0.5828313253012049,0.03915662650602403,0.3450330362339152,0.290576756619466,0.054456279614449155
orthogonal_only,42,2,0.47740963855421686,0.46285140562249,0.014558232931726867,0.6566265060240963,0.661144578313253,-0.004518072289156683,0.44461423682236895,0.47318259350753666,-0.028568356685167717
orthogonal_only,42,3,0.4854417670682731,0.43875502008032125,0.04668674698795183,0.6445783132530121,0.6852409638554217,-0.04066265060240959,0.4651721498349363,0.5293823981180471,-0.06421024828311078
orthogonal_only,42,4,0.4016064257028112,0.41666666666666663,-0.015060240963855442,0.7018072289156626,0.7063253012048193,-0.004518072289156683,0.5728227712989118,0.5458450291394695,0.026977742159442264
orthogonal_only,42,5,0.395582329317269,0.40461847389558225,-0.009036144578313254,0.7093373493975904,0.7048192771084337,0.004518072289156683,0.5698487926070711,0.5717505022406435,-0.0019017096335723904
orthogonal_only,42,6,0.3795180722891566,0.39508032128514053,-0.015562248995983907,0.7183734939759037,0.7243975903614458,-0.0060240963855421326,0.6102208434928242,0.5774646699159056,0.032756173576918624
orthogonal_only,42,7,0.3855421686746987,0.41064257028112444,-0.025100401606425737,0.7093373493975904,0.7078313253012049,0.001506024096385561,0.5987238914887426,0.5583449442012084,0.04037894728753422
orthogonal_only,42,8,0.3845381526104417,0.4076305220883534,-0.023092369477911656,0.7153614457831325,0.7123493975903614,0.003012048192771122,0.5918140153572976,0.5566270667930554,0.035186948564242204
orthogonal_only,42,9,0.3805220883534136,0.3990963855421687,-0.018574297188755085,0.7183734939759037,0.7183734939759037,0.0,0.6015200603430657,0.564783234955421,0.03673682538764467
orthogonal_only,42,10,0.38303212851405616,0.4091365461847389,-0.026104417670682722,0.713855421686747,0.7108433734939759,0.003012048192771122,0.5971435431471162,0.5571044518703175,0.04003909127679861
orthogonal_only,43,1,0.5145582329317269,0.521586345381526,-0.007028112449799173,0.6054216867469879,0.5948795180722891,0.010542168674698815,0.32384371340287466,0.3186540065956288,0.005189706807245842
orthogonal_only,43,2,0.44076305220883527,0.481425702811245,-0.040662650602409756,0.6852409638554217,0.6551204819277109,0.030120481927710774,0.5108329841415921,0.4363246983285478,0.07450828581304425
orthogonal_only,43,3,0.39708835341365456,0.4141566265060241,-0.017068273092369524,0.7153614457831325,0.7123493975903614,0.003012048192771122,0.5598998000708792,0.5463949601703378,0.01350483990054141
orthogonal_only,43,4,0.40461847389558225,0.411144578313253,-0.006526104417670764,0.6927710843373494,0.6987951807228916,-0.006024096385542244,0.5700870162123096,0.567790701786332,0.0022963144259776636
orthogonal_only,43,5,0.3820281124497991,0.4136546184738955,-0.03162650602409639,0.7093373493975904,0.6942771084337349,0.015060240963855498,0.6092785205863721,0.5631564084307907,0.046122112155581374
orthogonal_only,43,6,0.3860441767068273,0.41817269076305214,-0.032128514056224855,0.7153614457831325,0.6912650602409639,0.02409638554216864,0.5898599440370075,0.554309081412041,0.03555086262496643
orthogonal_only,43,7,0.39106425702811237,0.42168674698795183,-0.03062248995983946,0.7153614457831325,0.6852409638554217,0.030120481927710885,0.5827014471824039,0.5391222006190298,0.043579246563374086
orthogonal_only,43,8,0.40261044176706823,0.42018072289156627,-0.017570281124498044,0.7048192771084337,0.6852409638554217,0.01957831325301207,0.5716557296031344,0.5344949447281913,0.03716078487494312
orthogonal_only,43,9,0.40210843373493976,0.4161646586345381,-0.014056224899598346,0.7063253012048193,0.6867469879518072,0.01957831325301207,0.5687734355326333,0.5371909630147649,0.03158247251786839
orthogonal_only,43,10,0.3985943775100401,0.4141566265060241,-0.015562248995983963,0.7078313253012049,0.6942771084337349,0.013554216867469937,0.570958797378663,0.5457096819705028,0.025249115408160105
